round,bidder,value,bid,winner,AC,Blind
3,Bidder 0,24,19,False,True,True
3,Bidder 1,16,19,True,True,True
4,Bidder 1,24,12,False,True,True
4,Bidder 2,14,15,False,True,True
4,Bidder 0,15,15,True,True,True
5,Bidder 2,31,20,False,True,True
5,Bidder 0,33,30,False,True,True
5,Bidder 1,25,30,True,True,True
6,Bidder 1,31,14,False,True,True
6,Bidder 2,15,17,False,True,True
6,Bidder 0,17,17,True,True,True
7,Bidder 1,36,20,False,True,True
7,Bidder 2,24,29,False,True,True
7,Bidder 0,30,29,True,True,True
8,Bidder 0,17,15,False,True,True
8,Bidder 1,23,20,False,True,True
8,Bidder 2,28,20,True,True,True
9,Bidder 0,20,18,False,True,True
9,Bidder 2,39,20,False,True,True
9,Bidder 1,22,20,True,True,True
0,Bidder 0,33,30,False,True,True
0,Bidder 2,34,30,False,True,True
0,Bidder 1,31,30,True,True,True
1,Bidder 0,20,16,False,True,True
1,Bidder 1,27,26,False,True,True
1,Bidder 2,36,26,True,True,True
2,Bidder 2,22,16,False,True,True
2,Bidder 0,35,21,False,True,True
2,Bidder 1,19,21,True,True,True
3,Bidder 0,24,23,False,True,True
3,Bidder 2,30,26,False,True,True
3,Bidder 1,27,26,True,True,True
4,Bidder 2,33,19,False,True,True
4,Bidder 1,30,27,False,True,True
4,Bidder 0,20,27,True,True,True
5,Bidder 0,21,19,False,True,True
5,Bidder 2,35,20,False,True,True
5,Bidder 1,22,20,True,True,True
6,Bidder 0,16,15,False,True,True
6,Bidder 1,16,15,False,True,True
6,Bidder 2,33,15,True,True,True
7,Bidder 2,35,18,False,True,True
7,Bidder 1,34,30,False,True,True
7,Bidder 0,18,30,True,True,True
8,Bidder 1,23,15,False,True,True
8,Bidder 0,15,20,False,True,True
8,Bidder 2,23,20,False,True,True
9,Bidder 0,23,20,False,True,True
9,Bidder 2,29,26,False,True,True
9,Bidder 1,26,26,True,True,True
0,Bidder 2,38,24,False,True,True
0,Bidder 1,34,31,False,True,True
0,Bidder 0,25,31,True,True,True
1,Bidder 1,22,18,False,True,True
1,Bidder 0,20,20,False,True,True
1,Bidder 2,29,20,True,True,True
2,Bidder 0,24,21,False,True,True
2,Bidder 2,34,27,False,True,True
2,Bidder 1,27,27,True,True,True
3,Bidder 0,18,18,False,True,True
3,Bidder 1,31,31,False,True,True
3,Bidder 2,32,31,False,True,True
4,Bidder 2,28,21,False,True,True
4,Bidder 1,25,22,False,True,True
4,Bidder 0,25,22,True,True,True
5,Bidder 1,18,13,False,True,True
5,Bidder 0,14,18,False,True,True
5,Bidder 2,28,18,True,True,True
6,Bidder 2,30,10,False,True,True
6,Bidder 1,14,13,False,True,True
6,Bidder 0,10,13,True,True,True
7,Bidder 1,27,23,False,True,True
7,Bidder 2,26,23,False,True,True
7,Bidder 0,26,23,True,True,True
8,Bidder 1,37,24,False,True,True
8,Bidder 2,26,27,False,True,True
8,Bidder 0,28,27,True,True,True
9,Bidder 0,12,11,False,True,True
9,Bidder 2,28,23,False,True,True
9,Bidder 1,26,23,True,True,True
0,Bidder 1,28,20,False,True,True
0,Bidder 2,21,21,False,True,True
0,Bidder 0,23,21,True,True,True
1,Bidder 2,29,10,False,True,True
1,Bidder 1,24,23,False,True,True
1,Bidder 0,11,23,True,True,True
2,Bidder 2,38,24,False,True,True
2,Bidder 1,35,32,False,True,True
2,Bidder 0,25,32,True,True,True
3,Bidder 2,29,13,False,True,True
3,Bidder 1,22,20,False,True,True
3,Bidder 0,13,20,True,True,True
4,Bidder 0,24,21,False,True,True
4,Bidder 1,33,30,False,True,True
4,Bidder 2,34,30,True,True,True
5,Bidder 2,24,11,False,True,True
5,Bidder 0,23,21,False,True,True
5,Bidder 1,12,21,False,True,True
6,Bidder 2,29,21,False,True,True
6,Bidder 1,29,24,False,True,True
6,Bidder 0,25,24,True,True,True
7,Bidder 2,25,19,False,True,True
7,Bidder 0,23,21,False,True,True
7,Bidder 1,20,21,False,True,True
8,Bidder 2,31,29,False,True,True
8,Bidder 0,34,30,False,True,True
8,Bidder 1,29,30,True,True,True
9,Bidder 0,20,17,False,True,True
9,Bidder 2,25,17,False,True,True
9,Bidder 1,17,17,True,True,True
0,Bidder 2,29,18,False,True,True
0,Bidder 0,36,28,False,True,True
0,Bidder 1,18,28,True,True,True
1,Bidder 1,34,28,False,True,True
1,Bidder 2,32,29,False,True,True
1,Bidder 0,30,29,True,True,True
2,Bidder 0,19,19,False,True,True
2,Bidder 1,30,26,False,True,True
2,Bidder 2,33,26,True,True,True
3,Bidder 1,12,10,False,True,True
3,Bidder 0,11,12,False,True,True
3,Bidder 2,19,12,True,True,True
4,Bidder 1,30,18,False,True,True
4,Bidder 0,18,29,False,True,True
4,Bidder 2,32,29,False,True,True
5,Bidder 1,21,15,False,True,True
5,Bidder 0,16,20,False,True,True
5,Bidder 2,22,20,True,True,True
6,Bidder 1,31,23,False,True,True
6,Bidder 2,25,28,False,True,True
6,Bidder 0,28,28,True,True,True
7,Bidder 0,13,11,False,True,True
7,Bidder 2,24,11,False,True,True
7,Bidder 1,13,11,True,True,True
8,Bidder 2,26,17,False,True,True
8,Bidder 0,29,26,False,True,True
8,Bidder 1,18,26,True,True,True
9,Bidder 0,15,15,False,True,True
9,Bidder 2,32,17,False,True,True
9,Bidder 1,17,17,True,True,True
0,Bidder 0,20,15,True,False,True
0,Bidder 1,17,15,False,False,True
0,Bidder 2,19,15,False,False,True
1,Bidder 0,20,15,False,False,True
1,Bidder 1,21,20,True,False,True
1,Bidder 2,22,20,False,False,True
2,Bidder 0,22,21,True,False,True
2,Bidder 1,15,15,False,False,True
2,Bidder 2,15,15,False,False,True
3,Bidder 0,21,16,False,False,True
3,Bidder 1,30,25,True,False,True
3,Bidder 2,29,25,False,False,True
4,Bidder 0,36,26,True,False,True
4,Bidder 1,31,25,False,False,True
4,Bidder 2,21,18,False,False,True
5,Bidder 0,16,15,True,False,True
5,Bidder 1,14,15,False,False,True
5,Bidder 2,11,10,False,False,True
6,Bidder 0,33,25,True,False,True
6,Bidder 1,25,20,False,False,True
6,Bidder 2,20,18,False,False,True
7,Bidder 0,37,26,False,False,True
7,Bidder 1,34,30,True,False,True
7,Bidder 2,22,20,False,False,True
8,Bidder 0,21,20,False,False,True
8,Bidder 1,35,30,True,False,True
8,Bidder 2,37,30,False,False,True
9,Bidder 0,18,15,False,False,True
9,Bidder 1,27,25,True,False,True
9,Bidder 2,12,15,False,False,True
0,Bidder 0,33,30,True,False,True
0,Bidder 1,34,30,False,False,True
0,Bidder 2,31,25,False,False,True
1,Bidder 0,20,20,False,False,True
1,Bidder 1,27,26,False,False,True
1,Bidder 2,36,32,True,False,True
2,Bidder 0,22,20,False,False,True
2,Bidder 1,35,33,True,False,True
2,Bidder 2,19,20,False,False,True
3,Bidder 0,24,25,False,False,True
3,Bidder 1,30,25,False,False,True
3,Bidder 2,27,28,True,False,True
4,Bidder 0,33,31,True,False,True
4,Bidder 1,30,25,False,False,True
4,Bidder 2,20,20,False,False,True
5,Bidder 0,21,20,False,False,True
5,Bidder 1,35,32,True,False,True
5,Bidder 2,22,20,False,False,True
6,Bidder 0,16,20,False,False,True
6,Bidder 1,16,20,False,False,True
6,Bidder 2,33,30,True,False,True
7,Bidder 0,35,31,True,False,True
7,Bidder 1,34,30,False,False,True
7,Bidder 2,18,20,False,False,True
8,Bidder 0,23,25,True,False,True
8,Bidder 1,15,20,False,False,True
8,Bidder 2,23,20,False,False,True
9,Bidder 0,23,20,False,False,True
9,Bidder 1,29,25,True,False,True
9,Bidder 2,26,25,False,False,True
0,Bidder 0,33,30,True,False,True
0,Bidder 1,33,30,False,False,True
0,Bidder 2,26,20,False,False,True
1,Bidder 0,28,27,False,False,True
1,Bidder 1,35,31,True,False,True
1,Bidder 2,21,20,False,False,True
2,Bidder 0,30,25,False,False,True
2,Bidder 1,36,32,True,False,True
2,Bidder 2,27,28,False,False,True
3,Bidder 0,15,20,False,False,True
3,Bidder 1,11,10,False,False,True
3,Bidder 2,24,25,True,False,True
4,Bidder 0,24,22,False,False,True
4,Bidder 1,23,20,False,False,True
4,Bidder 2,32,30,True,False,True
5,Bidder 0,19,20,False,False,True
5,Bidder 1,33,30,True,False,True
5,Bidder 2,21,20,False,False,True
6,Bidder 0,11,10,False,False,True
6,Bidder 1,10,10,False,False,True
6,Bidder 2,22,21,True,False,True
7,Bidder 0,33,31,True,False,True
7,Bidder 1,20,20,False,False,True
7,Bidder 2,15,15,False,False,True
8,Bidder 0,28,25,True,False,True
8,Bidder 1,18,15,False,False,True
8,Bidder 2,27,25,False,False,True
9,Bidder 0,27,25,False,False,True
9,Bidder 1,35,30,True,False,True
9,Bidder 2,24,20,False,False,True
0,Bidder 0,24,22,True,False,True
0,Bidder 1,21,15,False,False,True
0,Bidder 2,19,15,False,False,True
1,Bidder 0,24,23,False,False,True
1,Bidder 1,29,23,False,False,True
1,Bidder 2,32,25,True,False,True
2,Bidder 0,27,24,True,False,True
2,Bidder 1,28,24,False,False,True
2,Bidder 2,20,18,False,False,True
3,Bidder 0,23,22,False,False,True
3,Bidder 1,35,30,True,False,True
3,Bidder 2,34,30,False,False,True
4,Bidder 0,24,23,True,False,True
4,Bidder 1,23,22,False,False,True
4,Bidder 2,25,23,False,False,True
5,Bidder 0,27,25,True,False,True
5,Bidder 1,27,25,False,False,True
5,Bidder 2,24,23,False,False,True
6,Bidder 0,30,25,True,False,True
6,Bidder 1,13,15,False,False,True
6,Bidder 2,24,23,False,False,True
7,Bidder 0,30,25,True,False,True
7,Bidder 1,18,18,False,False,True
7,Bidder 2,17,18,False,False,True
8,Bidder 0,29,25,True,False,True
8,Bidder 1,20,20,False,False,True
8,Bidder 2,17,18,False,False,True
9,Bidder 0,36,30,True,False,True
9,Bidder 1,28,24,False,False,True
9,Bidder 2,39,30,False,False,True
0,Bidder 0,25,20,True,False,True
0,Bidder 1,16,15,False,False,True
0,Bidder 2,21,20,False,False,True
1,Bidder 0,18,16,False,False,True
1,Bidder 1,34,25,True,False,True
1,Bidder 2,26,22,False,False,True
2,Bidder 0,33,30,True,False,True
2,Bidder 1,22,20,False,False,True
2,Bidder 2,21,20,False,False,True
3,Bidder 0,24,22,False,False,True
3,Bidder 1,24,21,False,False,True
3,Bidder 2,37,30,True,False,True
4,Bidder 0,14,15,False,False,True
4,Bidder 1,23,21,False,False,True
4,Bidder 2,27,25,True,False,True
5,Bidder 0,35,30,True,False,True
5,Bidder 1,29,25,False,False,True
5,Bidder 2,25,22,False,False,True
6,Bidder 0,23,22,False,False,True
6,Bidder 1,36,30,True,False,True
6,Bidder 2,25,22,False,False,True
7,Bidder 0,24,22,True,False,True
7,Bidder 1,21,20,False,False,True
7,Bidder 2,26,22,False,False,True
8,Bidder 0,24,22,True,False,True
8,Bidder 1,17,20,False,False,True
8,Bidder 2,24,22,False,False,True
9,Bidder 0,20,20,False,False,True
9,Bidder 1,22,22,False,False,True
9,Bidder 2,36,30,True,False,True
