Axis,Intervention,Auction,N,Mean_Ratio,Optimal,SMAD
Higher-Order Beliefs,Common Know,FPSB,290,0.9723532342775607,0.6666666666666666,48.88701858335578
Higher-Order Beliefs,Common Know,TPSB,287,0.867082288183176,2.0,54.74810736407432
Prospect Theory,LA: Baseline,SPSB,287,0.8281789823128112,1.0,12.8978428978429
Prospect Theory,LA: Baseline,FPSB,293,0.8788275618628631,0.6666666666666666,39.57173447537475
Prospect Theory,LA: Baseline,TPSB,287,0.8304684755082863,2.0,55.465164216023084
Prospect Theory,LA: Gain Frame,SPSB,290,0.839018965560822,1.0,10.131578947368423
Prospect Theory,LA: Gain Frame,FPSB,293,0.8376385879392754,0.6666666666666666,34.75843147751607
Prospect Theory,LA: Gain Frame,TPSB,287,0.8029496314591981,2.0,56.45254074784277
Prospect Theory,LA: Loss Frame,SPSB,287,0.7900930509070992,1.0,14.695876990066676
Prospect Theory,LA: Loss Frame,FPSB,284,0.7958415084465673,0.6666666666666666,33.268808347062055
Prospect Theory,LA: Loss Frame,TPSB,287,0.720488028676775,2.0,59.99932423300445
Prospect Theory,LA: Mixed Frame,SPSB,290,0.7697988979585457,1.0,15.687203791469194
Prospect Theory,LA: Mixed Frame,FPSB,290,0.7908331482475972,0.6666666666666666,35.36874154262517
Prospect Theory,LA: Mixed Frame,TPSB,288,0.7537921199182736,2.0,58.79078303425775
Prospect Theory,LA: Endowment,SPSB,287,0.7897818229187494,1.0,14.22652310208532
Prospect Theory,LA: Endowment,FPSB,293,0.8336119779614162,0.6666666666666666,38.99223768736618
Prospect Theory,LA: Endowment,TPSB,287,0.7662499376198424,2.0,57.152711378227
Prospect Theory,LA: WTA vs WTP,SPSB,290,0.9338829323376492,1.0,5.408301682040152
Prospect Theory,LA: WTA vs WTP,FPSB,293,0.9115944478075045,0.6666666666666666,42.8245449678801
Prospect Theory,LA: WTA vs WTP,TPSB,285,0.8827215805737082,2.0,54.30055020632737
Prospect Theory,Risk Averse,SPSB,0,,1.0,
Prospect Theory,Risk Averse,FPSB,290,0.7968266213216995,0.6666666666666666,27.755558568329732
Prospect Theory,Risk Averse,TPSB,288,0.7959142841278533,2.0,58.12304128627877
Prospect Theory,Risk Neutral,SPSB,0,,1.0,
Prospect Theory,Risk Neutral,FPSB,290,0.9066326017448916,0.6666666666666666,39.55331991951711
Prospect Theory,Risk Neutral,TPSB,290,0.831150715524269,2.0,56.00908105177555
Prospect Theory,Risk Seeking,SPSB,0,,1.0,
Prospect Theory,Risk Seeking,FPSB,290,0.9874568713902885,0.6666666666666666,46.94343434343433
Prospect Theory,Risk Seeking,TPSB,290,1.1131693711038793,2.0,46.954459203036045
Strategy Revelation,Correct Strategy,SPSB,0,,1.0,
Strategy Revelation,Correct Strategy,FPSB,284,0.665969202504393,0.6666666666666666,0.14370595550642568
Strategy Revelation,Correct Strategy,TPSB,281,1.6949950725035496,2.0,25.00837637861231
Strategy Revelation,Wrong Strategy,SPSB,0,,1.0,
Strategy Revelation,Wrong Strategy,FPSB,293,0.5004375641166077,0.6666666666666666,24.88758029978587
Strategy Revelation,Wrong Strategy,TPSB,287,0.5067434658345449,2.0,74.33324243250614
