round,bidder,value,bid,winner,AC,Blind
6,Bidder Betty,30.0,21.0,False,False,True
6,Bidder Charles,65.0,60.0,False,False,True
7,Bidder Andy,75.0,52.0,True,False,True
7,Bidder Betty,1.0,1.0,False,False,True
7,Bidder Charles,52.0,45.0,False,False,True
8,Bidder Andy,41.0,16.0,False,False,True
8,Bidder Betty,29.0,17.0,True,False,True
8,Bidder Charles,4.0,4.0,False,False,True
9,Bidder Andy,25.0,8.0,False,False,True
9,Bidder Betty,14.0,3.0,False,False,True
9,Bidder Charles,61.0,66.0,True,False,True
10,Bidder Andy,54.0,38.0,False,False,True
10,Bidder Betty,82.0,49.0,True,False,True
10,Bidder Charles,18.0,13.0,False,False,True
11,Bidder Andy,27.0,7.0,False,False,True
11,Bidder Betty,87.0,52.0,True,False,True
11,Bidder Charles,1.0,1.0,False,False,True
12,Bidder Andy,91.0,77.0,True,False,True
12,Bidder Betty,78.0,23.0,False,False,True
12,Bidder Charles,72.0,67.0,False,False,True
13,Bidder Andy,75.0,45.0,True,False,True
13,Bidder Betty,39.0,12.0,False,False,True
13,Bidder Charles,34.0,29.0,False,False,True
14,Bidder Andy,6.0,2.0,False,False,True
14,Bidder Betty,66.0,20.0,False,False,True
14,Bidder Charles,33.0,28.0,True,False,True
0,Bidder Andy,93.0,74.0,True,False,True
0,Bidder Betty,56.0,11.0,False,False,True
0,Bidder Charles,5.0,1.0,False,False,True
1,Bidder Andy,92.0,83.0,True,False,True
1,Bidder Betty,20.0,4.0,False,False,True
1,Bidder Charles,63.0,63.0,False,False,True
2,Bidder Andy,54.0,40.0,True,False,True
2,Bidder Betty,72.0,14.0,False,False,True
2,Bidder Charles,21.0,15.0,False,False,True
3,Bidder Andy,35.0,21.0,False,False,True
3,Bidder Betty,62.0,44.0,True,False,True
3,Bidder Charles,58.0,20.0,False,False,True
4,Bidder Andy,46.0,23.0,False,False,True
4,Bidder Betty,99.0,70.0,True,False,True
4,Bidder Charles,35.0,20.0,False,False,True
5,Bidder Andy,83.0,62.0,True,False,True
5,Bidder Betty,67.0,50.0,False,False,True
5,Bidder Charles,12.0,10.0,False,False,True
6,Bidder Andy,43.0,39.0,False,False,True
6,Bidder Betty,29.0,20.0,False,False,True
6,Bidder Charles,53.0,47.0,True,False,True
7,Bidder Andy,98.0,78.0,False,False,True
7,Bidder Betty,67.0,54.0,False,False,True
7,Bidder Charles,82.0,78.0,True,False,True
8,Bidder Andy,90.0,72.0,False,False,True
8,Bidder Betty,55.0,44.0,False,False,True
8,Bidder Charles,97.0,92.0,True,False,True
9,Bidder Andy,59.0,30.0,False,False,True
9,Bidder Betty,18.0,14.0,False,False,True
9,Bidder Charles,42.0,35.0,True,False,True
10,Bidder Andy,47.0,23.0,False,False,True
10,Bidder Betty,57.0,34.0,True,False,True
10,Bidder Charles,8.0,5.0,False,False,True
11,Bidder Andy,66.0,52.0,False,False,True
11,Bidder Betty,86.0,43.0,False,False,True
11,Bidder Charles,99.0,85.0,True,False,True
12,Bidder Andy,11.0,3.0,False,False,True
12,Bidder Betty,97.0,58.0,True,False,True
12,Bidder Charles,54.0,49.0,False,False,True
13,Bidder Andy,52.0,36.0,False,False,True
13,Bidder Betty,69.0,28.0,False,False,True
13,Bidder Charles,98.0,88.0,True,False,True
14,Bidder Andy,45.0,41.0,False,False,True
14,Bidder Betty,93.0,56.0,True,False,True
14,Bidder Charles,58.0,43.0,False,False,True
0,Bidder Andy,79.0,40.0,True,False,True
0,Bidder Betty,83.0,16.0,False,False,True
0,Bidder Charles,2.0,1.0,False,False,True
1,Bidder Andy,64.0,48.0,True,False,True
1,Bidder Betty,5.0,1.0,False,False,True
1,Bidder Charles,45.0,22.0,False,False,True
2,Bidder Andy,98.0,73.0,True,False,True
2,Bidder Betty,74.0,15.0,False,False,True
2,Bidder Charles,7.0,1.0,False,False,True
3,Bidder Andy,33.0,20.0,False,False,True
3,Bidder Betty,63.0,13.0,False,False,True
3,Bidder Charles,32.0,24.0,True,False,True
4,Bidder Andy,31.0,19.0,False,False,True
4,Bidder Betty,74.0,52.0,True,False,True
4,Bidder Charles,86.0,52.0,False,False,True
5,Bidder Andy,6.0,4.0,False,False,True
5,Bidder Betty,15.0,12.0,False,False,True
5,Bidder Charles,80.0,56.0,True,False,True
6,Bidder Andy,20.0,6.0,False,False,True
6,Bidder Betty,3.0,2.0,False,False,True
6,Bidder Charles,24.0,12.0,True,False,True
7,Bidder Andy,74.0,79.0,True,False,True
7,Bidder Betty,27.0,20.0,False,False,True
7,Bidder Charles,68.0,40.0,False,False,True
8,Bidder Andy,53.0,32.0,False,False,True
8,Bidder Betty,43.0,34.0,False,False,True
8,Bidder Charles,64.0,38.0,True,False,True
9,Bidder Andy,81.0,65.0,True,False,True
9,Bidder Betty,20.0,18.0,False,False,True
9,Bidder Charles,58.0,30.0,False,False,True
10,Bidder Andy,55.0,33.0,False,False,True
10,Bidder Betty,21.0,12.0,False,False,True
10,Bidder Charles,83.0,55.0,True,False,True
11,Bidder Andy,23.0,9.0,False,False,True
11,Bidder Betty,80.0,48.0,True,False,True
11,Bidder Charles,20.0,1.0,False,False,True
12,Bidder Andy,74.0,52.0,True,False,True
12,Bidder Betty,49.0,30.0,False,False,True
12,Bidder Charles,10.0,1.0,False,False,True
13,Bidder Andy,0.0,0.0,False,False,True
13,Bidder Betty,53.0,32.0,True,False,True
13,Bidder Charles,48.0,32.0,False,False,True
14,Bidder Andy,76.0,53.0,True,False,True
14,Bidder Betty,22.0,15.0,False,False,True
14,Bidder Charles,48.0,34.0,False,False,True
0,Bidder Andy,40.0,20.0,True,False,True
0,Bidder Betty,57.0,11.0,False,False,True
0,Bidder Charles,17.0,5.0,False,False,True
1,Bidder Andy,75.0,30.0,True,False,True
1,Bidder Betty,94.0,19.0,False,False,True
1,Bidder Charles,20.0,10.0,False,False,True
2,Bidder Andy,50.0,30.0,True,False,True
2,Bidder Betty,49.0,20.0,False,False,True
2,Bidder Charles,39.0,20.0,False,False,True
3,Bidder Andy,37.0,26.0,False,False,True
3,Bidder Betty,37.0,22.0,False,False,True
3,Bidder Charles,37.0,37.0,True,False,True
4,Bidder Andy,86.0,52.0,True,False,True
4,Bidder Betty,48.0,36.0,False,False,True
4,Bidder Charles,62.0,31.0,False,False,True
5,Bidder Andy,19.0,13.0,False,False,True
5,Bidder Betty,80.0,64.0,True,False,True
5,Bidder Charles,86.0,60.0,False,False,True
6,Bidder Andy,16.0,6.0,False,False,True
6,Bidder Betty,71.0,57.0,True,False,True
6,Bidder Charles,56.0,25.0,False,False,True
7,Bidder Andy,67.0,34.0,True,False,True
7,Bidder Betty,4.0,3.0,False,False,True
7,Bidder Charles,65.0,33.0,False,False,True
8,Bidder Andy,7.0,2.0,False,False,True
8,Bidder Betty,41.0,24.0,False,False,True
8,Bidder Charles,46.0,28.0,True,False,True
9,Bidder Andy,94.0,56.0,True,False,True
9,Bidder Betty,68.0,27.0,False,False,True
9,Bidder Charles,27.0,15.0,False,False,True
10,Bidder Andy,34.0,15.0,False,False,True
10,Bidder Betty,83.0,33.0,True,False,True
10,Bidder Charles,35.0,21.0,False,False,True
11,Bidder Andy,2.0,1.0,False,False,True
11,Bidder Betty,11.0,4.0,False,False,True
11,Bidder Charles,98.0,88.0,True,False,True
12,Bidder Andy,68.0,54.0,False,False,True
12,Bidder Betty,65.0,26.0,False,False,True
12,Bidder Charles,80.0,64.0,True,False,True
13,Bidder Andy,69.0,59.0,False,False,True
13,Bidder Betty,56.0,34.0,False,False,True
13,Bidder Charles,81.0,61.0,True,False,True
14,Bidder Andy,93.0,84.0,True,False,True
14,Bidder Betty,24.0,18.0,False,False,True
14,Bidder Charles,91.0,64.0,False,False,True
