Round,Player Name,Bid,Value,Plan,Overbid,Underbid,First,risk2,strategy2,understand2
7,Bidder Andy,17.0,19.0,"Plan to test a variety of aggressive bids between 70-90% of the value, combined with occasional lowball bids. Analyze Betty and Charles' reaction to varying tactics to refine strategic bidding for maximum profit optimization.",False,True,True,1,0.0,1.0
7,Bidder Betty,38.0,46.0,"In the next rounds, I will experiment with a variable strategy. When my value is low, I'll bid around 60-70% of it, but with high values, I'll elevate the bid to 80-90%. Adjustments will be made observing opponents' behaviour.",False,True,True,1,1.0,1.0
7,Bidder Charles,45.0,82.0,"Next, I will try a strategy based on statistical averaging of Andy's and Betty's previous bids, bidding in closer proximity to those, while still operating within a range of 30%-70% of my value for risk management.",False,True,True,0,1.0,1.0
8,Bidder Andy,7.0,19.0,"Plans: Implement a rotating strategy of 30-40% bids for low values and 70-80% bids for high values. Intersperse with mild 50-60% bids to analyze reactions. Adjust strategy based on Betty and Charles' patterns, historical results and risk-reward balance for maximum long-term profitability.",False,True,True,0,0.0,1.0
8,Bidder Betty,43.0,45.0,"Continue a flexible strategy, oscillating between moderate (50-65% of value) and assertive (80-95% of value) bids, based on collected data. Strategize based on competitors' actions, and occasionally take calculated risks to potentially increase long-term profit and gain insightful data.",False,True,True,1,1.0,1.0
8,Bidder Charles,67.0,83.0,"My bid strategy will blend conservative and aggressive approaches, depending on the value range. For high values over $70, I'll submit lower competitive bids. For values between $30-$70, I'll bid aggressively; under $30, conservatively. I'll introduce occasional random bids for unpredictability.",False,True,True,0,0.0,1.0
9,Bidder Andy,58.0,83.0,"Plan to execute a mixed strategy, alternating between low-risk bids of 20-30% of prize value and high-risk bids of 60-70%. Monitor responses to varied bids, adapt strategy dynamically based on competitor patterns, historical data and profitability goal. Balance risk and rewards for sustained profit optimization.",False,True,True,1,0.0,1.0
9,Bidder Betty,88.0,93.0,"Next, I'll try bold bids (up to 95% of value) when value is high and moderate (50-70%) when low. I'll also test alternating risky experiments with consistent bids every other round to evaluate competitor reactions, maximizing exploration for longer-term profit optimization strategy.",False,True,True,1,0.0,1.0
9,Bidder Charles,71.0,79.0,"For values under $30, I'll adopt a conservative approach, bidding around 30% of the value. Over $30, I'll bid 70-90% of the value. I'll use random bids occasionally to confuse competitors, while keenly watching their strategies for adjustments. Lastly, in a prospective tie, I'll increase my bid slightly for a guaranteed win.",False,True,True,0,0.0,1.0
10,Bidder Andy,16.0,32.0,"Plan: Implement aggressive bidding (75-90% of value) on high-value draws, and moderate bids (40-50%) on lower value draws to understand competitor reactions. Employ occasional lowball bids. Monitor bidding patterns to adjust strategy, balancing risk and profitability.",False,True,True,1,0.0,1.0
10,Bidder Betty,20.0,36.0,"I will alternate between bidding 75% of high values and 55% of low values. Further, will occasionally adopt a risky stance, bidding close to 95% to gauge competitors. This flexibility allows continuous learning and maximizing the long-term profit.",False,True,True,1,0.0,1.0
10,Bidder Charles,59.4,66.0,"I'll introduce variability in future rounds: conservatively bidding 30% of my value for values under $30, 70-90% for values over $30, and occasionally employing a random bid. In the event of a potential tie, I'll incrementally increase my bid.",False,True,True,0,0.0,1.0
11,Bidder Andy,62.0,78.0,"Plan: Use a rotational strategy of aggressive 80% bids for high values, moderate 40-50% bids for average values, and incorporate unexpected lowball bids to cause disarray in competitors' responses. Continuously adapt strategy based on competitors’ tendencies, bid outcomes, and consistent profit optimization.",False,True,True,1,1.0,1.0
11,Bidder Betty,71.0,79.0,"To optimize long-term profit, I'll alternate bidding, using 70% of low values and 90% of high values. Further, randomly bid close to full value to assess competitors' reactions. This flexibility ensures continuous learning and strategic evolution based on opponents’ behaviours.",False,True,True,1,0.0,1.0
11,Bidder Charles,51.0,73.0,"I'll bid 40% for values under $40, and 70-90% for higher amounts. Using statistical analysis, I'll adjust bids around competitors' behavior, with occasional random bids. In potential ties, bid will be increased minimally.",False,True,True,0,0.0,1.0
12,Bidder Andy,24.0,30.0,"Next, focusing on versatile bidding strategies, from aggressive 80% bids for high values, random low-risk bids, to intermediate 50-60% bids. Modify strategy based on previous round analysis, competitors' tendencies, and profit optimization. Regularly intersperse unexpected $(1+round number) increments to test reaction variation.",False,True,True,1,1.0,1.0
12,Bidder Betty,9.0,12.0,"Continue a dynamic bidding structure, bidding around 60-80% of my value for lower values and 80-95% for higher values. Implement occasional risky high bids to learn about competitors' thresholds, enabling calculated strategic bids for long-term profit maximization.",False,True,True,1,0.0,1.0
12,Bidder Charles,0.0,0.0,"I'll vary my bidding strategy based on prize value. For values under $30, I'll bid conservatively (30% of value). Over $30, aggressive bids (70-90% of value). I'll insert random bids occasionally, and in potential ties, slightly increase my bid.",False,False,True,1,0.0,1.0
13,Bidder Andy,50.0,68.0,"Plan: Employ controlled aggression, bidding around 70-80% of high values, balanced with unexpected lowball bids. Experiment $(1+round number) increments. Continuously react to patterns from Betty and Charles, with an emphasis on optimizing profitability against the risk.",False,True,True,1,0.0,1.0
13,Bidder Betty,54.0,57.0,Plan to alternate between 60-70% bid on low values and 85-95% on high. Experiment with occasional risky bids close to value to assess competitors. Adjust strategy based on competitors' reactions and strive for overall profit maximization.,False,True,True,1,0.0,1.0
13,Bidder Charles,4.0,14.0,"Next, I aim to adjust my aggressive bid range to 60-80% for values over $50. For lower values, I'll maintain a conservative 30% bid. I'll continue initiating occasional random bids. In identifying a possible tie, I'll increase my bid slightly for a sure win.",False,True,True,1,0.0,1.0
14,Bidder Andy,12.0,16.0,"Plan: Continue aggressive bidding of 70-80% on high values. Occasionally, test lowball bids and $(1+round number) increments for unpredictable pattern. Monitor Betty and Charles' reactions to various strategies. Adapt strategy based on gathered data, keeping profit optimization and risk balance in focus.",False,True,True,1,0.0,1.0
14,Bidder Betty,19.0,24.0,"Will adapt a strategic blend, bidding about 65-75% of lower value and 85-95% of higher. Occasionally, will bid nearly full value to learn about competitors' thresholds. Experimentations will continue to fine-tune my long-term profit maximization approach.",False,True,True,1,0.0,1.0
14,Bidder Charles,32.0,46.0,"Next, I'll calibrate my conservative 30% bidding strategy for values under $25 and adjust aggressive bids to 70-90% for values over $50. I will introduce occasional random bids for unpredictability and slightly increase my bid in potential tie scenarios.",False,True,True,1,0.0,1.0
0,Bidder Andy,15.0,32.0,"My strategies will firstly include low-risk testing, bidding lower values to gather information about opponent habits. Afterward, I'll test aggressive strategies, bidding high when my value is high, aiming to maximize potential profits. I will also consider proportionate bidding, where I bid proportionate to my value. Throughout, I'll monitor and adjust my strategy based on the observed bidding patterns of Betty and Charles, and the profitability of my own bids.",False,True,True,0,0.0,1.0
0,Bidder Betty,72.0,90.0,"I will test two key strategies next. First, the aggressive approach, consistently bidding high to win the auction (80-100% of value). This helps me understand high-profit potential. Second, I will adopt a conservative strategy, bidding low (~40% of value). This allows me to amass profit slowly, chances are high to lose but I don't lose too much. I will also analyze losses and winnings from previous bids to understand competition behaviour, adjusting my strategies accordingly while randomizing bids occasionally to throw off opponents. This extensive testing helps in devising the most profitable strategy moving forward.",False,True,True,1,0.0,1.0
0,Bidder Charles,26.0,51.0,"Initial rounds will involve exploratory bidding to identify competitors' average range. Bids will incrementally increase, alongside aggressively high bids occasionally to determine upper limit thresholds. Following rounds will incorporate risk-adjusted strategies, leveraging learnings from previous rounds. The strategy can involve bidding low when the value is low and slightly above average when the value is high. As the game progresses, the strategy may adapt to more aggressive, risky bidding to potentially maximize profit.",False,True,True,1,0.0,1.0
1,Bidder Andy,23.0,31.0,"Plan to incrementally raise my bids in next rounds to study opponents' tendencies. I will bid higher when my value is high, and moderate for low values, observing profits against aggressive and conservative strategies",False,True,True,1,0.0,1.0
1,Bidder Betty,18.0,21.0,"Plan to rotate between aggressive bidding (80-100% of value) to grasp high-profit potential and conservative bidding (~40% of value) for gradual profit. Analyze round history to adjust strategies, incorporate random bids to confuse opponents. Aim to optimize profit by learning from past results.",False,True,True,1,0.0,1.0
1,Bidder Charles,75.0,70.0,"I plan to increase my bid to discover the upper limit of bids, using occasional aggressive high bids. My bid will relate to my value, generally bidding low on low values, but above average on high values, adapting strategy as we progress.",True,False,True,1,0.0,1.0
2,Bidder Andy,90.0,92.0,"In the next round, I'll test a high-risk strategy and bid near the upper limit of my value. I'll also test the reaction when bidding minimally during low-value sessions, to understand opponents' tendencies and adjust my strategy accordingly.",False,True,True,1,0.0,1.0
2,Bidder Betty,19.0,24.0,"I will adopt a mixed strategy, employing aggressive bids (80-100% of value) in some rounds and conservative bids (~40% of value) in others, also incorporating unexpected bid rates to confuse competitors while optimizing long-term profits based on round history learning.",False,True,True,1,0.0,1.0
2,Bidder Charles,38.0,48.0,"Plan to explore a mix of conservative and moderately high bids based on value. If value is low, try a low bid. If high, bid moderately above average. This allows for further data collection while managing risk.",False,True,True,0,0.0,1.0
3,Bidder Andy,1.0,4.0,"Next, I plan to test moderate bidding relative to my value during high-value sessions, and slight bidding during low-value sessions. I aim to balance risk, while learning about my opponents' tendencies.",False,True,True,0,0.0,1.0
3,Bidder Betty,22.0,28.0,"To maximize profit, I will cycle between low-risk bids (~40% of value) and high-risk bids (80-100% of value). Analyzing competitors' strategies from past rounds and introducing unpredictable bids will also be part of my approach.",False,True,True,1,1.0,1.0
3,Bidder Charles,15.0,27.0,"Next, I will randomize my bids within a range based on past highest bids to evaluate bidding dynamics. Similarly, I'll intertwine lower than average bids to assess potential profits when other bidders possibly overbid. Analyzing these results will guide future strategy development.",False,True,True,0,0.0,1.0
4,Bidder Andy,17.0,34.0,"Plan to divide my value evenly between low-risk and high-reward bids. Test borderline bids in high-value situations. Maintain low bidding pattern for low values, offering contrast data. Analyze bid effectiveness against varying competitor strategies.",False,True,True,0,0.0,1.0
4,Bidder Betty,36.0,60.0,"I plan to proceed with an experimental bidding strategy, rotating between high-risk, aggressive bids (80-100% of value) and more conservative, low-risk bids (~40% of value). Periodic random bids will be included to keep competitors off-balance while gradually optimizing my overall profit based on learned strategies.",False,True,True,1,0.0,1.0
4,Bidder Charles,27.0,31.0,"Next, I'll incorporate calculated risk-taking in my strategy. Alternate between bidding slightly lower on lower-values and significantly high for higher-values. Additionally, threading in an occasional aggressive high-bid irrespective of the value to test opponent's thresholds.",False,True,True,1,0.0,1.0
5,Bidder Andy,25.0,35.0,"I'll explore middle-ground bidding, to balance risk-reward. If my value is high, I'll bid around 70-80%. For low values, I'll conservatively bid 30-40% of my value. This aims to maximize long-term profits without risking too much.",False,True,True,0,0.0,1.0
5,Bidder Betty,42.0,84.0,"Next round, I plan to evenly distribute between aggressive (80-100% of value) bids and conservative (~40% of value) bids. Based on previous rounds, I'll also incorporate unpredictable bid rates, and adapt strategies for long-term profit maximization.",False,True,True,1,0.0,1.0
5,Bidder Charles,39.0,28.0,"Plan to balance low-bid strategies on lower values and aggressive high-bids on higher values. Intermittently, bid significantly high irrespective of my value. Neutralize risks by bidding near the average of highest bids from previous rounds to explore possible winning thresholds.",True,False,True,1,0.0,1.0
6,Bidder Andy,64.0,71.0,"Next, I'll focus on precision bidding. For high values, I'll aim to bid about 80-90% of my value. For lower values, I'll bid approximately half. This strategy seeks to maximize potential gains while limiting risk.",False,True,True,0,0.0,0.0
6,Bidder Betty,7.0,17.0,"I will continue alternating between high-risk aggressive bids (80-100% of value) and low-risk conservative bids (~40% of my value). Additionally, I'll intersperse random bids for unpredictability, studying and learning from past patterns to maximize long-term profitability.",False,True,True,1,0.0,1.0
6,Bidder Charles,44.0,44.0,"For the upcoming rounds, I'll pursue a mixed strategic approach, incorporating random high bids, and low bids based on low values. I will occasionally venture into extremely high bids, even with low values, to assess opponents' exploring limits.",False,False,True,1,0.0,1.0
7,Bidder Andy,70.0,94.0,"I'll test a lower risk strategy, bidding about 75% on high values and close to 50% on lower values. This allows room for profit while remaining competitive in the auction, based on prior rounds' outcomes.",False,True,True,0,0.0,1.0
7,Bidder Betty,28.0,46.0,"I'll strategize my bids between aggressive (80-100% of value) and conservative (40% of value) styles, introducing sporadic, unpredictable bids. Analyzing competitors' bidding tactics from past round results to optimize my long-term profit strategy.",False,True,True,1,1.0,1.0
7,Bidder Charles,64.0,44.0,"I'll aim to bid near the high-end of previous winning bids for high values and apply lower bids for lower values. Intermittently, I'll place significantly high or extremely low bids regardless of value for exploration, adjusting approach based on resulting profit patterns.",True,False,True,1,0.0,1.0
8,Bidder Andy,48.0,57.0,"I'll experiment with incremental precision bidding, approximating around 85% on high values, and near 50% on lower ones. This aims to optimize profit while keeping competitiveness based on analyzed auction trends.",False,True,True,0,0.0,1.0
8,Bidder Betty,31.0,77.0,"For next rounds, I'm alternating between aggressive (80-100% of value) and conservative (~40% of value) bids. Unpredictable bids will be introduced occasionally to throw off opponents while constantly learning from historical patterns for long-term profit maximization.",False,True,True,1,0.0,1.0
8,Bidder Charles,95.0,95.0,"Going forward, I'll continue strategically mixing low/high bids adjusting with value. Implement dynamically, sprinkling a few surprising high bids, potentially pushing established boundaries, while bidding conservatively low on lesser values to conserve profits. Observations and analysis from these approaches will help refine the ongoing strategy.",False,False,True,1,0.0,1.0
9,Bidder Andy,0.0,1.0,"I plan to implement a dynamic strategy. For higher values, I may bid 75-85% to secure a win and reap profits. For lower values, I plan to test frugal bidding, around 30-40%, to minimize losses and maintain profitability. Adjustment depends on ongoing analysis of opponents' tendencies.",False,True,True,0,0.0,1.0
9,Bidder Betty,35.0,47.0,"Next, I'll further refine bid adjustments between aggressive (80-100% of value) and conservative (40%) strategies, while adding more unpredictable bids. Additionally, I'll carefully study past patterns to optimize my bidding decisions and maximize long-term profits.",False,True,True,1,1.0,1.0
9,Bidder Charles,0.0,0.0,"Next phase involves diversifying my strategies; low bids on low values, minimum aggressive high-bids on high values, occasional aggressive bids and statistical bids around the average of winning bids to gauge thresholds without significantly impeding potential profits.",False,False,True,0,0.0,1.0
10,Bidder Andy,37.0,50.0,"Next, I'll continue dynamic bidding, adjusting based on my value. For high values, I'll bid 70-85% of my value. If the value is low, I'll bid 20-40%. This strategy aims to maintain competitiveness and profitability while minimizing potential losses.",False,True,True,0,0.0,1.0
10,Bidder Betty,62.0,78.0,"I'll apply a dynamic strategy, shifting between aggressive (80-100% of value) and conservative bids (40%), with sporadic unexpected bids. Past auction histories will guide my future strategies, ensuring long-term profit maximization. I'll also test the impact of marginally lower bids to optimize profit.",False,True,True,1,1.0,1.0
10,Bidder Charles,80.0,80.0,"Will employ adaptive bidding – low bids on low value draws and approximations of winners' average bid for higher values. Occasionally, disruptive high bids might be placed for learning effects. Continuous analysis of outcomes will inform further refinement in strategies for profit maximization.",False,False,True,1,0.0,1.0
11,Bidder Andy,45.0,67.0,"Next, I'll test a moderate-risk strategy, bidding around 60-70% of high values, maintain 40% for low values. Also, I'll observe reaction to occasional outlier bids. This helps balance profitability risks while investigating competitors' adaptability, enhancing the understanding of the auction scenario.",False,True,True,1,0.0,1.0
11,Bidder Betty,87.0,97.0,"I'll conduct bid intervals between aggressive (80-100% of value) and conservative bids (40% of value). Erratic bids will be introduced for unpredictability. Using previous bid patterns, I'll adjust strategy for long-term profits. I'll also slightly modify my bids to explore potential gain areas.",False,True,True,1,0.0,1.0
11,Bidder Charles,54.0,53.0,"Continue adaptive bidding using low bids for low values, near-average bids for high values. Introduce unpredictable bid pattern, occasionally mixing high-risk high bids irrespective of values, for strategic disruption. Analyze opponents’ reactions for gleaned insights to refine subsequent bidding strategies toward profit maximization.",True,False,True,1,0.0,1.0
12,Bidder Andy,63.0,79.0,"I will explore implementing a conditional strategy, varying my bidding based on the opponents' prior habits. A pivot to higher bids for values above 50, around 80-90%, while maintaining a conservative 30-40% for lower values. Learning and capitalizing on competitors' behaviors will be a priority.",False,True,True,0,1.0,1.0
12,Bidder Betty,25.0,29.0,"I will continue to mix aggressive (80-100% value) and conservative bids (40% value), introducing rare random bids. I will focus on marginally reducing bids from the previous winning bid, observing opponent's strategies, to enhance profit while maintaining auction wins.",False,True,True,1,1.0,1.0
12,Bidder Charles,75.0,75.0,"I'll continue blending strategies - conservative bids for low values, closely mirroring average winning bids for higher values. Infrequent yet disruptive high bids to understand boundaries. Results analysis to hone profit-maximizing strategies.",False,False,True,1,0.0,1.0
13,Bidder Andy,75.0,84.0,"For the next rounds, I'll increase my bidding to 85-95% for high values to enhance chances of winning. For low values, maintain a conservative 30-40% bid strategy. Additionally, introduce random high bids on mid-range values to examine opponents' reaction and adjust bidding pattern dynamically.",False,True,True,1,0.0,1.0
13,Bidder Betty,68.0,85.0,"Next, I'll oscillate between aggressive bids (~80-100% of value) and conservative ones (~40% of value), adding rare unpredictable bids. I'll adjust these strategies by studying historical data, especially considering the range of losing bids to improve my winning chances while optimizing profitability.",False,True,True,1,0.0,1.0
13,Bidder Charles,30.0,47.0,"To optimize profits, my plan involves testing split methods: lower than average bids for low values and moderately high bids for high values. Occasionally, I'll randomly pitch an overly high bid to see how it influences the game dynamics and extract insights for future bidding.",False,True,True,1,0.0,1.0
14,Bidder Andy,82.0,97.0,"For high value prizes, I'll reduce my previous strategy to bid approximately 80-85% of value to conserve resources. For mid and low values, continue conservative 20-40% bidding. Introduce random high bids on mid-range values as a testing variable. Adjust strategy dynamically based on opponents' reactions and learned tendencies.",False,True,True,0,0.0,1.0
14,Bidder Betty,20.0,28.0,"My strategy will be to test a 70-100% average aggressive bid for a chance to win higher values. Data from past rounds suggest this may increase profits. Unpredictability will still be introduced occasionally, adjusting my bids slightly lower than the highest winning bid previously.",False,True,True,1,1.0,1.0
14,Bidder Charles,25.0,46.0,"Plan to pursue dynamic bidding pattern, varying between significant high bids and substantially low bids, irrespective of value. Employ disruptive, statistical average bids intermittently to understand competitors' thresholds for crafting refined, data-informed bidding strategies towards potential profit maximization.",False,True,True,1,0.0,1.0
0,Bidder Andy,21.0,42.0,"I plan to initially explore a strategy where I bid half of my value, then varying my bids between 30-70% of my value in subsequent rounds. Sequentially, I will introduce risk by bidding within +/- 5% of the highest bid from previous round, gathering data about other bidder's tendencies. Lastly, based on gathered data, I'll deploy a more aggressive high bid if losses amass, or low-risk bid if leading, to secure profit. Learning from each round is vital to adapt and refine strategy for profit maximization.",False,True,True,1,0.0,1.0
0,Bidder Betty,0.0,1.0,"First, I'll test a conservative strategy, bidding low (10% of my value), to analyze patterns in other's bids. Next, I'll try an aggressive strategy, bidding 90% of my value, to evaluate its profitability. Finally, I would test a moderate approach of 50% of my value. By comparing the results, I can tailor my strategy to maximize long-term profits. If a pattern is noticed, like consistent overbidding from a participant, I will adapt my strategy accordingly. If a round's value is significantly high, I may adopt a riskier strategy for potential high profit.",False,True,True,1,0.0,1.0
0,Bidder Charles,0.0,0.0,"I plan to test a moderate aggressive strategy first, bidding around 75% of my prize value. Depending on outcomes, I will adjust it upwards or downwards in 5% increments. Next, I plan to bid randomly within a safe range (20-60%) to understand market unpredictability. Later, I’m considering a bold strategy bidding close to or even exceeding my value occasionally. I'll closely monitor the bidding history and profits to refine these strategies as needed.",False,False,True,1,0.0,1.0
1,Bidder Andy,34.0,68.0,"For next rounds, I plan to bid half of my value, slightly increase or decrease against highest previous bid. If losing, I'll go aggressive with higher bid. If winning, I'll go conservative to retain profits. Data from each round will guide my bids.",False,True,True,0,0.0,1.0
1,Bidder Betty,26.0,29.0,"Next, I'll test an aggressive strategy by bidding 90% of my value. Then, I'll trial a moderate approach, bidding 50% of my value. By contrasting results, I can refine my strategy to maximize profits. Patterns from others' bids will be studied for strategic adjustments.",False,True,True,1,0.0,1.0
1,Bidder Charles,63.0,84.0,"I will test two strategies: moderately aggressive, bidding 75% of prize value, and unpredictable, bidding randomly within 20-60% range. I’ll adjust strategies based on outcomes, potentially testing bold bids close to or exceeding value, always reflecting on the history of bids.",False,True,True,1,0.0,1.0
2,Bidder Andy,29.0,41.0,"I'll bid over half of my value, adjust based on the highest previous bid, increase if losing or decrease if winning. I'll also test bidding around 70% of my value, anticipating opponents' strategies. Adapting strategies based on data from each round is key to maximizing profits.",False,True,True,1,0.0,1.0
2,Bidder Betty,17.0,34.0,"In the next round, I'll bid exactly half of my value to test a moderate strategy. If I notice a consistently high overbidding pattern, my next plan is to slightly underbid relative to my own value to possibly secure wins without major profit losses.",False,True,True,0,0.0,1.0
2,Bidder Charles,39.0,61.0,"In the next rounds, I'll adopt a more measured approach by bidding closer to 60-65% of the prize value. Considering past behavior, I'll intermittently introduce random lower range bids (30-50%) to gauge opponents' reactions and adjust accordingly.",False,True,True,0,0.0,1.0
3,Bidder Andy,6.0,9.0,"I'll bid about 70% of my value, adjusting around the highest previous bid. I aim to detect opponent tactics and adjust my bid accordingly. Exploring aggressive strategies if losing, or conservative ones when ahead can aid long-term profit maximization through dynamic bidding.",False,True,True,1,1.0,1.0
3,Bidder Betty,37.8,54.0,"In the following rounds, I'll test a strategy of bidding 70% of the value, then a low-risk option of 30% of the value. Repeat aggressive and conservative strategies while observing competitors' bidding habits to adjust accordingly.",False,True,True,1,0.0,1.0
3,Bidder Charles,17.0,29.0,"I'll experiment with a 60% bid of the prize value. Intermittently, I'll strategically decrease my bid to around 48-52% of the prize value to observe competitors' reactions whilst maximizing potential profits. I'll continually revise based on outcomes.",False,True,True,0,0.0,1.0
4,Bidder Andy,64.0,80.0,"Next, I'll test a strategy where I bid 60-80% of my value, applying it flexibly to the highest previous bid. I'll probe competitors' behaviors by alternating between conservative bids when leading and aggressive bids when trailing. My aim is to accumulate data for strategic adjustment.",False,True,True,0,0.0,1.0
4,Bidder Betty,18.0,26.0,"My next plan involves bidding 70% of the drawn value for aggressive testing, followed by a conservative approach of bidding 30%. Meanwhile, I'll pay attention to competitors' bidding patterns to adapt my strategy appropriately.",False,True,True,1,0.0,1.0
4,Bidder Charles,69.0,99.0,"Having analyzed past rounds, I'll incorporate a strategy of bidding around 60-70% of my value, occasionally dipping to 45-55% for unpredictability. This allows exploration of competitor reactions while maintaining potential profitability.",False,True,True,0,1.0,1.0
5,Bidder Andy,29.0,33.0,"I'll test a strategy within 70-90% of my value. I'll increment bid slightly above the highest previous bid when behind and decrease when ahead. This adjusts per gathered data about opponents' patterns, betting riskier when my value is high to secure advantage and maximize profit.",False,True,True,0,1.0,1.0
