source,family,group,model,experiment,env,seal_clock,price_order,number_agents,increment,seed_base,temperature,n_runs,n_bids,n_rows_dropped_nan_bid,mean_dev,sd_dev,se_dev,median_dev,mad,smad_pct,boot_ci_mean_lo,boot_ci_mean_hi,boot_ci_smad_lo,boot_ci_smad_hi,share_under,share_over,share_within_2pct,rne_benchmark,mean_dev_rne,mad_rne,smad_rne_pct,mean_dev_rne_capped,is_baseline,baseline_experiment,baseline_n,baseline_mean_dev,diff_mean_dev,welch_t,welch_p,mw_p,cohens_d,source_path,notes
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis2_forward_backward_induct,private,seal,second,3,0.1,1299,0.5,1,150,0,-1.05933,2.21563,0.180905,-1.5,2.15533,8.79728,-1.38868,-0.692,8.02177,9.57558,0.713333,0.226667,0.06,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-1.60263,-6.32127,7.11707e-10,2.1873e-13,-0.57638,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis2_forward_baseline,private,seal,second,3,0.1,1299,0.5,1,150,0,0.366,3.21821,0.262766,-1,2.942,12.0082,-0.130017,0.85935,11.1699,12.8845,0.52,0.48,0,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-0.177299,-0.559003,0.576598,0.137514,-0.0572818,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis2_forward_onestep,private,seal,second,3,0.1,1299,0.5,1,150,0,0.298,1.7921,0.146324,0,1.17133,4.78095,0.0266333,0.581417,3.86122,5.69803,0.24,0.286667,0.473333,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-0.245299,-1.0659,0.287067,0.662171,-0.0917037,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis2_forward_tree,private,seal,second,3,0.1,1299,0.5,1,150,0,-0.819333,1.61867,0.132164,-0.5,1.106,4.51429,-1.09067,-0.574,3.61361,5.54837,0.546667,0.0733333,0.38,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-1.36263,-6.15461,1.70007e-09,2.63605e-10,-0.516713,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis3_beliefs_baseline,private,seal,second,3,0.1,1299,0.5,1,150,0,0.139333,2.92515,0.238837,-0.1,1.666,6.8,-0.346067,0.615367,5.33333,8.51442,0.38,0.313333,0.306667,,,,,,True,,,,,,,,,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis3_beliefs_common_knowledge,private,seal,second,3,0.1,1299,0.5,1,150,0,-1.286,2.00694,0.163866,-0.3,1.31667,5.37415,-1.62005,-0.971317,4.11687,6.72946,0.473333,0.00666667,0.52,,,,,,False,axis3_beliefs_baseline,150,0.139333,-1.42533,-4.92094,1.51851e-06,1.84591e-06,-0.568221,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis3_beliefs_firstorder,private,seal,second,3,0.1,1299,0.5,1,150,0,-0.00466667,3.69039,0.301319,-0.3,2.90333,11.8503,-0.562117,0.559367,10.3999,13.3205,0.46,0.42,0.12,,,,,,False,axis3_beliefs_baseline,150,0.139333,-0.144,-0.374517,0.7083,0.789787,-0.0432455,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis3_beliefs_secondorder,private,seal,second,3,0.1,1299,0.5,1,150,0,-0.592,3.03515,0.247819,-0.5,1.93867,7.91293,-1.12602,-0.122517,6.50605,9.64639,0.573333,0.24,0.186667,,,,,,False,axis3_beliefs_baseline,150,0.139333,-0.731333,-2.12488,0.0344208,0.000693097,-0.24536,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_raw,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,intervention_NE_strat_reveal,private,seal,second,3,0.1,1299,0.5,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-0.543299,-3.05868,0.00243083,0.537254,-0.220607,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude/intervention_NE_strat_reveal,
es_v12_raw,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,intervention_menu,private,seal,second,3,0.1,1299,0.5,1,150,0,1.36667,4.96368,0.405282,2.7,4.12533,16.8381,0.541233,2.1487,14.985,19.0018,0.153333,0.82,0.0266667,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,0.823368,1.86073,0.0641956,1.9587e-11,0.21677,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude/intervention_menu,
es_v12_raw,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,intervention_nash_deviation,private,seal,second,3,0.1,1299,0.5,1,150,0,-1.37867,2.1991,0.179556,-1.3,1.72533,7.04218,-1.73147,-1.00728,5.90177,8.37844,0.8,0.04,0.16,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-1.92197,-7.60966,2.07593e-13,8.19028e-21,-0.692337,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude/intervention_nash_deviation,
es_v12_raw,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,intervention_proxy_breitmoser,private,seal,second,3,0.1,1299,0.5,1,150,0,-1.06133,1.81085,0.147855,-1.3,1.772,7.23265,-1.34735,-0.766667,6.53054,7.94571,0.686667,0.24,0.0733333,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-1.60463,-6.94315,1.42343e-11,2.84513e-13,-0.598924,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude/intervention_proxy_breitmoser,
es_v12_raw,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,intervention_wrong_strat_reveal,private,seal,second,3,0.1,1299,0.5,1,150,0,-11.9953,5.41608,0.442221,-12,11.9953,48.9605,-12.8702,-11.0986,45.3005,52.5315,0.993333,0,0.00666667,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-12.5386,-26.3107,1.33943e-66,8.94154e-63,-3.13258,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude/intervention_wrong_strat_reveal,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,loss_aversion_WTA_WTP,private,seal,second,3,0.1,1299,0.5,1,150,0,0.0173333,1.61822,0.132127,-0.1,1.06267,4.33741,-0.2327,0.283383,3.61088,5.12932,0.333333,0.233333,0.433333,,,,,,False,loss_aversion_baseline,150,0.907333,-0.89,-3.1464,0.0018751,0.00153496,-0.363315,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,loss_aversion_baseline,private,seal,second,3,0.1,1299,0.5,1,150,0,0.907333,3.06318,0.250108,0,2.354,9.60816,0.425933,1.4054,8.22041,11.0477,0.253333,0.48,0.266667,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,0.364034,1.18669,0.236295,0.141061,0.119695,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,loss_aversion_endowment,private,seal,second,3,0.1,1299,0.5,1,126,0,-0.11746,2.82741,0.251886,-0.5,2.33968,9.54972,-0.618274,0.392897,8.43521,10.7127,0.52381,0.31746,0.15873,,,,,,False,loss_aversion_baseline,150,0.907333,-1.02479,-2.88702,0.00420179,0.000321827,-0.346453,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,loss_aversion_gain_frame,private,seal,second,3,0.1,1299,0.5,1,120,0,-0.0975,3.23064,0.294916,-0.5,2.40583,9.81973,-0.6725,0.488354,8.32628,11.4219,0.475,0.341667,0.183333,,,,,,False,loss_aversion_baseline,150,0.907333,-1.00483,-2.59855,0.00992037,0.00199661,-0.320149,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,loss_aversion_loss_frame,private,seal,second,3,0.1,1299,0.5,1,150,0,-0.138667,1.67207,0.136524,-0.5,1.24133,5.06667,-0.400683,0.141367,4.33741,5.80687,0.46,0.286667,0.253333,,,,,,False,loss_aversion_baseline,150,0.907333,-1.046,-3.6709,0.000300353,8.97006e-05,-0.42388,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,loss_aversion_mixed_frame,private,seal,second,3,0.1,1299,0.5,1,150,0,0.997333,2.16643,0.176888,1.5,1.98,8.08163,0.666617,1.36603,7.27347,8.96599,0.24,0.593333,0.166667,,,,,,False,loss_aversion_baseline,150,0.907333,0.09,0.293792,0.769144,0.647801,0.0339242,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_raw,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,private_second_price,private,seal,second,3,0.1,1299,0.5,1,138,0,0.115217,2.76936,0.235743,-0.1,1.82681,7.45637,-0.341413,0.566105,6.10463,8.88798,0.362319,0.384058,0.253623,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-0.428082,-1.45029,0.148051,0.135171,-0.145165,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude/private_second_price,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,risk_averse,private,seal,second,3,0.1,1299,0.5,1,129,0,-3.48837,2.30826,0.203231,-3.5,3.48837,14.2383,-3.907,-3.10841,12.6874,15.9469,0.984496,0,0.0155039,,,,,,False,risk_neutrality,147,0.72449,-4.21286,-13.4283,7.13994e-32,1.1489e-33,-1.59649,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,risk_neutrality,private,seal,second,3,0.1,1299,0.5,1,147,0,0.72449,2.89779,0.239006,0,1.87007,7.63293,0.278197,1.22124,6.19999,9.26281,0.170068,0.482993,0.346939,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,0.181191,0.608466,0.543331,0.223024,0.0606715,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,risk_seeking,private,seal,second,3,0.1,1299,0.5,1,150,0,8.402,4.16825,0.340336,9,8.58333,35.034,7.71197,9.04068,32.5005,37.3376,0.0333333,0.933333,0.0333333,,,,,,False,risk_neutrality,147,0.72449,7.67751,18.4611,1.47204e-49,2.54409e-36,2.135,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,spsb,private,seal,second,3,0.1,1399,0.5,1,150,0,-0.492667,2.95873,0.24158,-0.3,1.67667,6.84354,-1.02137,-0.0259833,5.36034,8.6617,0.466667,0.266667,0.266667,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-1.03597,-3.45492,0.000627821,0.00083318,-0.344628,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,ascending_clock_closed,private,clock,second,3,0.5,1299,0.5,1,150,0,-2.08333,1.05934,0.0864948,-2,2.11667,8.63946,-2.24,-1.91658,8,9.2517,0.926667,0.00666667,0.0666667,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],300,0,-2.08333,-24.0862,3.06357e-53,3.07182e-80,-3.41011,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/ascending_clock_closed/run_2026-07-09_11-54-45-985161/results/ascending_clock_apv_closed_results.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,axis1_contingent_baseline,private,seal,second,3,0.1,1299,0.5,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,True,,,,,,,,,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/axis1_contingent_baseline/run_2026-07-09_12-16-35-514087/results/axis1_contingent_baseline_results.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,axis2_forward_baseline,private,seal,second,3,0.1,1299,0.5,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],300,0,0,,,,,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/axis2_forward_baseline/run_2026-07-09_12-20-40-628404/results/axis2_forward_baseline_results.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,axis2_forward_onestep,private,seal,second,3,0.1,1299,0.5,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],300,0,0,,,,,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/axis2_forward_onestep/run_2026-07-09_12-33-43-968294/results/axis2_forward_onestep_results.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,axis2_forward_tree,private,seal,second,3,0.1,1299,0.5,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],300,0,0,,,,,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/axis2_forward_tree/run_2026-07-09_12-37-14-314251/results/axis2_forward_tree_results.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,axis3_beliefs_baseline,private,seal,second,3,0.1,1299,0.5,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,True,,,,,,,,,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/axis3_beliefs_baseline/run_2026-07-09_12-40-45-406379/results/axis3_beliefs_baseline_results.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,axis3_beliefs_secondorder,private,seal,second,3,0.1,1299,0.5,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,False,axis3_beliefs_baseline,150,0,0,,,,,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/axis3_beliefs_secondorder/run_2026-07-09_12-45-14-088514/results/axis3_beliefs_secondorder_results.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,intervention_menu,private,seal,second,3,0.1,1299,0.5,1,150,0,-8.70467,3.97111,0.32424,-8.85,8.70467,35.5293,-9.35073,-8.0373,32.8053,38.1663,0.98,0,0.02,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],300,0,-8.70467,-26.8464,5.9308e-59,5.42876e-92,-3.8009,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/intervention_menu/run_2026-07-09_12-49-25-161318/results/intervention_menu_results.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,intervention_proxy_breitmoser,private,seal,second,3,0.1,1299,0.5,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],300,0,0,,,,,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/intervention_proxy_breitmoser/run_2026-07-09_12-54-32-319818/results/intervention_proxy_breitmoser_results.csv,
es_v12_raw,es_v12,claude-sonnet-5,claude-sonnet-5,spsb,private,seal,second,3,0.1,1399,0.5,1,150,0,-0.0666667,0.816497,0.0666667,0,0.0666667,0.272109,-0.2,0,0,0.816327,0.00666667,0,0.993333,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],300,0,-0.0666667,-1,0.318932,0.158688,-0.141579,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude_sonnet5/spsb/run_2026-07-09_12-58-48-108069/results/spsb_apv_results.csv,
es_v12_csv,es_v12,gemini-2.0-flash,gemini-2.0-flash,POOLED_axis_baseline,private,seal,second,,,,,,300,0,-1.25267,2.11493,0.122106,-0.5,1.25533,5.12381,-1.50901,-1.02364,4.18776,6.16616,,,,,,,,,True,,,,,,,,,,"pooled axis1+axis3 baselines (derived cell; axis2_forward_baseline excluded as a treated clock-exit description, see results/merged_ranking/_axis2_baseline_provenance.md)"
es_v12_csv,es_v12,gemini-2.0-flash,gemini-2.0-flash,POOLED_axis_baseline_legacy,private,seal,second,,,,,,450,0,-2.87533,3.80929,0.179572,-0.5,2.87711,11.7433,-3.24672,-2.53084,10.3424,13.261,,,,,,,,,True,,,,,,,,,,LEGACY pooled axis1+axis2+axis3 baselines (contains the treated axis2 clock-exit cell; comparison only)
es_v12_csv,es_v12,gemini-2.0-flash,gemini-2.0-flash,ascending_clock_closed,private,clock,second,3,0.5,1399,0.5,1,120,0,-1.24167,1.07489,0.0981237,-1,1.26667,5.17007,-1.43333,-1.05833,4.42177,5.95238,0.625,0.025,0.35,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],300,-1.25267,0.011,0.0702219,0.944053,0.0031471,0.00585598,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_raw,es_v12,gemini-2.0-flash,gemini-2.0-flash,axis1_contingent_backward_induct,private,seal,second,3,0.1,1299,0.5,1,147,0,-1.96395,3.24723,0.267827,-0.1,1.96395,8.0161,-2.50007,-1.46325,5.97244,10.2044,0.380952,0,0.619048,,,,,,False,axis1_contingent_baseline,150,-0.796,-1.16795,-3.94299,0.000109903,0.0979572,-0.460541,Engineering_simplicity/engineer_simplicity-main/experiment_logs/gemini/axis1_contingent_backward_induct,
es_v12_csv,es_v12,gemini-2.0-flash,gemini-2.0-flash,axis1_contingent_baseline,private,seal,second,3,0.1,1299,0.5,1,150,0,-0.796,1.54958,0.126523,-0.5,0.796,3.24898,-1.06805,-0.571983,2.33463,4.35939,0.293333,0,0.706667,,,,,,True,,,,,,,,,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,gemini-2.0-flash,gemini-2.0-flash,axis1_contingent_dominated,private,seal,second,3,0.1,1299,0.5,1,150,0,-2.02,2.85387,0.233017,-0.5,2.02,8.2449,-2.46867,-1.56732,6.39721,10.0762,0.486667,0,0.513333,,,,,,False,axis1_contingent_baseline,150,-0.796,-1.224,-4.61624,6.50039e-06,0.000870059,-0.533037,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,gemini-2.0-flash,gemini-2.0-flash,axis1_contingent_enumerate,private,seal,second,3,0.1,1299,0.5,1,150,0,-0.897333,1.76973,0.144498,-0.5,0.897333,3.66259,-1.18202,-0.629317,2.56864,4.82456,0.226667,0,0.773333,,,,,,False,axis1_contingent_baseline,150,-0.796,-0.101333,-0.527609,0.59817,0.679874,-0.0609231,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_raw,es_v12,gemini-2.0-flash,gemini-2.0-flash,axis1_contingent_onestep,private,seal,second,3,0.1,1299,0.5,1,144,0,-0.327778,0.338537,0.0282115,-0.1,0.327778,1.33787,-0.3875,-0.276389,1.12812,1.58163,0.152778,0,0.847222,,,,,,False,axis1_contingent_baseline,150,-0.796,0.468222,3.612,0.000403723,0.00523603,0.413629,Engineering_simplicity/engineer_simplicity-main/experiment_logs/gemini/axis1_contingent_onestep,
es_v12_raw,es_v12,gemini-2.0-flash,gemini-2.0-flash,axis1_contingent_tree,private,seal,second,3,0.1,1299,0.5,1,147,0,-0.958503,1.50296,0.123962,-0.5,0.958503,3.91226,-1.22318,-0.751684,3.0681,4.99257,0.462585,0,0.537415,,,,,,False,axis1_contingent_baseline,150,-0.796,-0.162503,-0.917432,0.359666,0.000111567,-0.106442,Engineering_simplicity/engineer_simplicity-main/experiment_logs/gemini/axis1_contingent_tree,
es_v12_csv,es_v12,gemini-2.0-flash,gemini-2.0-flash,axis1_contingent_worstcase,private,seal,second,3,0.1,1299,0.5,1,126,0,-1.64127,2.58659,0.230432,-0.5,1.64286,6.70554,-2.11192,-1.21429,4.96914,8.6265,0.404762,0.00793651,0.587302,,,,,,False,axis1_contingent_baseline,150,-0.796,-0.84527,-3.2154,0.00152279,0.0168113,-0.404905,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,gemini-2.0-flash,gemini-2.0-flash,axis2_forward_backward_induct,private,seal,second,3,0.1,1299,0.5,1,150,0,-0.981333,2.34112,0.191152,0,0.981333,4.00544,-1.39542,-0.622633,2.54136,5.69558,0.213333,0,0.786667,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],300,-1.25267,0.271333,1.19623,0.232645,9.38673e-16,0.123741,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
