model,family,dominance_language,truthful_intent,payment_rule_correct,second_price_mention,first_price_mention,opponent_modeling,probability_reasoning,expected_value_reasoning,shading_intent,overbid_intent,worst_case,safety_recognition,overpay_concern,zero_profit_fallacy,margin_language,conservative_language,aggressive_language,risk_language,n_traces
gpt-4o,beliefs_C3,0.0,0.035,0.0467,0.21,0.0033,0.3333,0.37,0.0717,0.66,0.015,0.0033,0.0,0.4433,0.0333,0.32,0.0817,0.0083,0.3683,600
gpt-4o,clock,0.0,0.0083,0.0,0.0,0.0,0.0167,0.0083,0.0083,0.0,0.0,0.05,0.0,0.125,0.3917,0.0583,0.0,0.0,0.375,120
gpt-4o,clock_framing_B3,0.0,0.0067,0.0,0.0,0.0,0.16,0.4267,0.0133,0.7467,0.0067,0.0067,0.0,0.5,0.04,0.4933,0.0867,0.0267,0.5867,150
gpt-4o,contingent_C1,0.0067,0.0617,0.07,0.2467,0.0,0.275,0.2917,0.0383,0.6,0.0433,0.2133,0.0,0.475,0.0633,0.245,0.0983,0.005,0.55,600
gpt-4o,loss_D,0.0,0.0067,0.07,0.2767,0.0,0.2022,0.3189,0.0211,0.7433,0.0189,0.0078,0.0,0.5489,0.01,0.2556,0.1167,0.0111,0.5011,900
gpt-4o,menu_B1,0.0,0.0133,0.0,0.0,0.0,0.2333,0.3933,0.06,0.7,0.0067,0.0,0.0,0.32,0.0067,0.4867,0.0733,0.02,0.22,150
gpt-4o,payoff_safety_B2,0.0,0.0267,0.0067,0.28,0.0,0.1333,0.6067,0.0,0.6733,0.0,0.0067,0.0,0.5067,0.0467,0.4333,0.16,0.0267,0.3933,150
gpt-4o,payoff_tree_C1,0.0,0.06,0.1067,0.2467,0.0,0.1267,0.4867,0.0,0.7067,0.0533,0.0067,0.0,0.5467,0.0267,0.26,0.1133,0.0067,0.38,150
gpt-4o,planning_C2,0.0,0.0067,0.0667,0.1733,0.0,0.2433,0.3333,0.0267,0.68,0.0067,0.01,0.0,0.6,0.0167,0.4433,0.1433,0.0133,0.4167,300
gpt-4o,risk_D,0.0,0.0022,0.0756,0.3156,0.0,0.0956,0.5067,0.0578,0.6356,0.1267,0.0089,0.0,0.46,0.0022,0.2711,0.2511,0.1067,0.7956,450
