period_id,turn_id,current_price,agent_selected,action,bid,max_bids,highest_bidder,exp_number
4,1,13.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 13.0, 'Bidder Charles': 13.0}",Bidder Betty,1
4,2,14.0,Bidder Betty,bid,15.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 15.0, 'Bidder Charles': 13.0}",Bidder Betty,1
5,0,14.0,Bidder Betty,bid,16.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 13.0}",Bidder Betty,1
5,1,16.0,Bidder Charles,bid,15.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 15.0}",Bidder Betty,1
5,2,16.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 15.0}",Bidder Betty,1
6,0,16.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 15.0}",Bidder Betty,1
6,1,17.0,Bidder Charles,bid,17.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 17.0}",Bidder Charles,1
6,2,17.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 17.0}",Bidder Charles,1
7,0,18.0,Bidder Betty,bid,18.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 18.0, 'Bidder Charles': 17.0}",Bidder Betty,1
7,1,18.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 18.0, 'Bidder Charles': 17.0}",Bidder Betty,1
7,2,18.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 18.0, 'Bidder Charles': 17.0}",Bidder Betty,1
8,0,18.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 18.0, 'Bidder Charles': 17.0}",Bidder Betty,1
8,1,18.0,Bidder Betty,bid,20.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 20.0, 'Bidder Charles': 17.0}",Bidder Betty,1
8,2,18.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 20.0, 'Bidder Charles': 17.0}",Bidder Betty,1
9,0,18.0,Bidder Betty,bid,62.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 62.0, 'Bidder Charles': 17.0}",Bidder Betty,1
9,1,18.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 62.0, 'Bidder Charles': 17.0}",Bidder Betty,1
9,2,18.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 62.0, 'Bidder Charles': 17.0}",Bidder Betty,1
0,0,0.0,Bidder Betty,bid,1.0,"{'Bidder Andy': 0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Betty,2
0,1,1.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Andy,2
0,2,2.0,Bidder Charles,bid,2.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 2.0}",Bidder Charles,2
1,0,2.0,Bidder Charles,bid,10.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 10.0}",Bidder Charles,2
1,1,4.0,Bidder Betty,bid,3.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 3.0, 'Bidder Charles': 10.0}",Bidder Charles,2
1,2,6.0,Bidder Andy,bid,5.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 3.0, 'Bidder Charles': 10.0}",Bidder Charles,2
2,0,10.0,Bidder Betty,bid,10.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 10.0}",Bidder Betty,2
2,1,11.0,Bidder Charles,bid,15.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles,2
2,2,13.0,Bidder Andy,bid,12.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles,2
3,0,13.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles,2
3,1,15.0,Bidder Betty,bid,15.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 15.0, 'Bidder Charles': 15.0}",Bidder Betty,2
3,2,16.0,Bidder Charles,bid,20.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 15.0, 'Bidder Charles': 20.0}",Bidder Charles,2
4,0,18.0,Bidder Andy,bid,17.0,"{'Bidder Andy': 17.0, 'Bidder Betty': 15.0, 'Bidder Charles': 20.0}",Bidder Charles,2
4,1,20.0,Bidder Betty,bid,19.0,"{'Bidder Andy': 17.0, 'Bidder Betty': 19.0, 'Bidder Charles': 20.0}",Bidder Charles,2
4,2,20.0,Bidder Charles,bid,25.0,"{'Bidder Andy': 17.0, 'Bidder Betty': 19.0, 'Bidder Charles': 25.0}",Bidder Charles,2
5,0,22.0,Bidder Andy,bid,21.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 19.0, 'Bidder Charles': 25.0}",Bidder Charles,2
5,1,22.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 19.0, 'Bidder Charles': 25.0}",Bidder Charles,2
5,2,24.0,Bidder Betty,bid,23.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 23.0, 'Bidder Charles': 25.0}",Bidder Charles,2
6,0,25.0,Bidder Betty,bid,25.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 25.0, 'Bidder Charles': 25.0}",Bidder Betty,2
6,1,25.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 25.0, 'Bidder Charles': 25.0}",Bidder Betty,2
6,2,25.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 25.0, 'Bidder Charles': 25.0}",Bidder Betty,2
7,0,26.0,Bidder Charles,bid,30.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 25.0, 'Bidder Charles': 30.0}",Bidder Charles,2
7,1,28.0,Bidder Betty,bid,27.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 27.0, 'Bidder Charles': 30.0}",Bidder Charles,2
7,2,28.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 27.0, 'Bidder Charles': 30.0}",Bidder Charles,2
8,0,30.0,Bidder Betty,bid,29.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 29.0, 'Bidder Charles': 30.0}",Bidder Charles,2
8,1,30.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 29.0, 'Bidder Charles': 30.0}",Bidder Charles,2
8,2,30.0,Bidder Charles,bid,35.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 29.0, 'Bidder Charles': 35.0}",Bidder Charles,2
9,0,35.0,Bidder Betty,bid,35.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 35.0, 'Bidder Charles': 35.0}",Bidder Betty,2
9,1,36.0,Bidder Charles,bid,83.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 35.0, 'Bidder Charles': 83.0}",Bidder Charles,2
9,2,36.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 35.0, 'Bidder Charles': 83.0}",Bidder Charles,2
0,0,0.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy,3
0,1,2.0,Bidder Charles,bid,10.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 10.0}",Bidder Charles,3
0,2,4.0,Bidder Betty,bid,3.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 3.0, 'Bidder Charles': 10.0}",Bidder Charles,3
1,0,4.0,Bidder Charles,bid,15.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 3.0, 'Bidder Charles': 15.0}",Bidder Charles,3
1,1,6.0,Bidder Betty,bid,5.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 5.0, 'Bidder Charles': 15.0}",Bidder Charles,3
1,2,8.0,Bidder Andy,bid,7.0,"{'Bidder Andy': 7.0, 'Bidder Betty': 5.0, 'Bidder Charles': 15.0}",Bidder Charles,3
2,0,10.0,Bidder Andy,bid,9.0,"{'Bidder Andy': 9.0, 'Bidder Betty': 5.0, 'Bidder Charles': 15.0}",Bidder Charles,3
2,1,13.0,Bidder Betty,bid,12.0,"{'Bidder Andy': 9.0, 'Bidder Betty': 12.0, 'Bidder Charles': 15.0}",Bidder Charles,3
2,2,13.0,Bidder Charles,bid,20.0,"{'Bidder Andy': 9.0, 'Bidder Betty': 12.0, 'Bidder Charles': 20.0}",Bidder Charles,3
3,0,15.0,Bidder Betty,bid,14.0,"{'Bidder Andy': 9.0, 'Bidder Betty': 14.0, 'Bidder Charles': 20.0}",Bidder Charles,3
3,1,17.0,Bidder Andy,bid,16.0,"{'Bidder Andy': 16.0, 'Bidder Betty': 14.0, 'Bidder Charles': 20.0}",Bidder Charles,3
3,2,17.0,Bidder Charles,bid,25.0,"{'Bidder Andy': 16.0, 'Bidder Betty': 14.0, 'Bidder Charles': 25.0}",Bidder Charles,3
4,0,19.0,Bidder Andy,bid,18.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 14.0, 'Bidder Charles': 25.0}",Bidder Charles,3
4,1,21.0,Bidder Betty,bid,20.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 20.0, 'Bidder Charles': 25.0}",Bidder Charles,3
4,2,21.0,Bidder Charles,bid,27.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 20.0, 'Bidder Charles': 27.0}",Bidder Charles,3
5,0,26.0,Bidder Betty,bid,25.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 25.0, 'Bidder Charles': 27.0}",Bidder Charles,3
5,1,26.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 25.0, 'Bidder Charles': 27.0}",Bidder Charles,3
5,2,27.0,Bidder Andy,bid,27.0,"{'Bidder Andy': 27.0, 'Bidder Betty': 25.0, 'Bidder Charles': 27.0}",Bidder Andy,3
6,0,27.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 27.0, 'Bidder Betty': 25.0, 'Bidder Charles': 27.0}",Bidder Andy,3
6,1,28.0,Bidder Betty,bid,30.0,"{'Bidder Andy': 27.0, 'Bidder Betty': 30.0, 'Bidder Charles': 27.0}",Bidder Betty,3
6,2,30.0,Bidder Andy,bid,30.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 30.0, 'Bidder Charles': 27.0}",Bidder Andy,3
7,0,31.0,Bidder Andy,bid,35.0,"{'Bidder Andy': 35.0, 'Bidder Betty': 30.0, 'Bidder Charles': 27.0}",Bidder Andy,3
7,1,35.0,Bidder Betty,bid,35.0,"{'Bidder Andy': 35.0, 'Bidder Betty': 35.0, 'Bidder Charles': 27.0}",Bidder Andy,3
7,2,36.0,Bidder Charles,bid,40.0,"{'Bidder Andy': 35.0, 'Bidder Betty': 35.0, 'Bidder Charles': 40.0}",Bidder Charles,3
8,0,41.0,Bidder Andy,bid,41.0,"{'Bidder Andy': 41.0, 'Bidder Betty': 35.0, 'Bidder Charles': 40.0}",Bidder Andy,3
8,1,42.0,Bidder Charles,bid,45.0,"{'Bidder Andy': 41.0, 'Bidder Betty': 35.0, 'Bidder Charles': 45.0}",Bidder Charles,3
8,2,44.0,Bidder Betty,bid,43.0,"{'Bidder Andy': 41.0, 'Bidder Betty': 43.0, 'Bidder Charles': 45.0}",Bidder Charles,3
9,0,46.0,Bidder Betty,bid,58.0,"{'Bidder Andy': 41.0, 'Bidder Betty': 58.0, 'Bidder Charles': 45.0}",Bidder Betty,3
9,1,46.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 41.0, 'Bidder Betty': 58.0, 'Bidder Charles': 45.0}",Bidder Betty,3
9,2,48.0,Bidder Charles,bid,47.0,"{'Bidder Andy': 41.0, 'Bidder Betty': 58.0, 'Bidder Charles': 47.0}",Bidder Betty,3
0,0,0.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy,4
0,1,1.0,Bidder Charles,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 1.0}",Bidder Andy,4
0,2,2.0,Bidder Betty,bid,5.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 5.0, 'Bidder Charles': 1.0}",Bidder Betty,4
1,0,2.0,Bidder Betty,bid,6.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 6.0, 'Bidder Charles': 1.0}",Bidder Betty,4
1,1,6.0,Bidder Andy,bid,5.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 6.0, 'Bidder Charles': 1.0}",Bidder Betty,4
1,2,7.0,Bidder Charles,bid,7.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 6.0, 'Bidder Charles': 7.0}",Bidder Charles,4
2,0,8.0,Bidder Betty,bid,8.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 8.0, 'Bidder Charles': 7.0}",Bidder Betty,4
2,1,9.0,Bidder Charles,bid,9.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 8.0, 'Bidder Charles': 9.0}",Bidder Charles,4
2,2,10.0,Bidder Andy,bid,10.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 8.0, 'Bidder Charles': 9.0}",Bidder Andy,4
3,0,11.0,Bidder Charles,bid,11.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 8.0, 'Bidder Charles': 11.0}",Bidder Charles,4
3,1,12.0,Bidder Andy,bid,12.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 8.0, 'Bidder Charles': 11.0}",Bidder Andy,4
3,2,13.0,Bidder Betty,bid,13.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 13.0, 'Bidder Charles': 11.0}",Bidder Betty,4
4,0,14.0,Bidder Charles,bid,14.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 13.0, 'Bidder Charles': 14.0}",Bidder Charles,4
4,1,15.0,Bidder Andy,bid,15.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 13.0, 'Bidder Charles': 14.0}",Bidder Andy,4
4,2,16.0,Bidder Betty,bid,16.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 16.0, 'Bidder Charles': 14.0}",Bidder Betty,4
5,0,17.0,Bidder Charles,bid,19.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 16.0, 'Bidder Charles': 19.0}",Bidder Charles,4
5,1,19.0,Bidder Andy,bid,18.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 16.0, 'Bidder Charles': 19.0}",Bidder Charles,4
5,2,20.0,Bidder Betty,bid,20.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 20.0, 'Bidder Charles': 19.0}",Bidder Betty,4
6,0,21.0,Bidder Charles,bid,25.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 20.0, 'Bidder Charles': 25.0}",Bidder Charles,4
6,1,23.0,Bidder Andy,bid,22.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 20.0, 'Bidder Charles': 25.0}",Bidder Charles,4
6,2,25.0,Bidder Betty,bid,24.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 24.0, 'Bidder Charles': 25.0}",Bidder Charles,4
7,0,26.0,Bidder Andy,bid,26.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 24.0, 'Bidder Charles': 25.0}",Bidder Andy,4
7,1,27.0,Bidder Charles,bid,30.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 24.0, 'Bidder Charles': 30.0}",Bidder Charles,4
7,2,29.0,Bidder Betty,bid,28.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 28.0, 'Bidder Charles': 30.0}",Bidder Charles,4
8,0,29.0,Bidder Charles,bid,35.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 28.0, 'Bidder Charles': 35.0}",Bidder Charles,4
8,1,36.0,Bidder Betty,bid,36.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 36.0, 'Bidder Charles': 35.0}",Bidder Betty,4
8,2,37.0,Bidder Andy,bid,37.0,"{'Bidder Andy': 37.0, 'Bidder Betty': 36.0, 'Bidder Charles': 35.0}",Bidder Andy,4
9,0,37.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 37.0, 'Bidder Betty': 36.0, 'Bidder Charles': 35.0}",Bidder Andy,4
9,1,37.0,Bidder Andy,bid,46.0,"{'Bidder Andy': 46.0, 'Bidder Betty': 36.0, 'Bidder Charles': 35.0}",Bidder Andy,4
9,2,39.0,Bidder Charles,bid,38.0,"{'Bidder Andy': 46.0, 'Bidder Betty': 36.0, 'Bidder Charles': 38.0}",Bidder Andy,4
