cell_id,knob,setting,model,mechanism,baseline_id,note,source,n_bids,mean_dev_vs_value,llm_smad,llm_smad_lo,llm_smad_hi,llm_under_share,llm_equal_share,llm_over_share,llm_over_among_deviators,llm_over_vs_eq_share,human_smad,delta_smad,abs_delta_smad,human_over_share,dir_gap,wasserstein_pp,synth_source,status,smad_minus_baseline,p_level_vs_baseline,p_dir_vs_baseline
gpt-4o|TP3|intervention_risk_neutral,risk_persona,risk-neutral,gpt-4o,TP3,gpt-4o|TP3|axis_baseline_pooled,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/intervention_risk_neutral_third'), None)",150,-3.5013,121.2571,111.7876,130.3922,86.6667,6.6667,6.6667,7.1429,0.0000,7.6566,113.6005,113.6005,89.8000,83.1333,48.5337,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,1.0767,0.8373,0.0000
gpt-4o|TP3|intervention_risk_seeking,risk_persona,risk-seeking,gpt-4o,TP3,gpt-4o|TP3|axis_baseline_pooled,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/intervention_risk_seeking_third'), None)",138,1.0188,105.7557,96.1016,115.2931,42.7536,0.7246,56.5217,56.9343,4.3478,7.6566,98.0991,98.0991,89.8000,33.2783,30.0840,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,-14.4247,0.0111,0.0000
gpt-4o|SP|loss_aversion_baseline,prospect_frame,baseline (loss-aversion),gpt-4o,SP,gpt-4o|SP|loss_aversion_baseline,frame-specific baseline (more specific than axis baselines),"('gpt-4o', ['loss_aversion_baseline'])",150,-2.6387,10.8082,8.8625,12.9474,90.6667,8.6667,0.6667,0.7299,0.6667,5.6460,5.1622,5.1622,67.2000,66.5333,23.2482,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|SP|loss_aversion_loss_frame,prospect_frame,loss frame,gpt-4o,SP,gpt-4o|SP|loss_aversion_baseline,,"('gpt-4o', ['loss_aversion_loss_frame'])",150,-4.2440,17.3279,14.8182,20.0110,92.6667,7.3333,0.0000,0.0000,0.0000,5.6460,11.6819,11.6819,67.2000,67.2000,29.8006,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,6.5197,0.0002,0.3165
gpt-4o|SP|loss_aversion_gain_frame,prospect_frame,gain frame,gpt-4o,SP,gpt-4o|SP|loss_aversion_baseline,,"('gpt-4o', ['loss_aversion_gain_frame'])",150,-3.0793,12.9497,11.0720,15.0016,95.3333,4.0000,0.6667,0.6944,0.6667,5.6460,7.3037,7.3037,67.2000,66.5333,25.0468,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,2.1415,0.1516,1.0000
gpt-4o|SP|loss_aversion_mixed_frame,prospect_frame,mixed frame,gpt-4o,SP,gpt-4o|SP|loss_aversion_baseline,,"('gpt-4o', ['loss_aversion_mixed_frame'])",150,-4.4880,18.4000,16.7427,20.0354,94.6667,4.6667,0.6667,0.6993,0.6667,5.6460,12.7540,12.7540,67.2000,66.5333,30.7975,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,7.5918,0.0000,1.0000
gpt-4o|SP|loss_aversion_endowment,prospect_frame,endowment,gpt-4o,SP,gpt-4o|SP|loss_aversion_baseline,,"('gpt-4o', ['loss_aversion_endowment'])",150,-3.5520,14.5252,11.5508,17.4670,92.0000,7.3333,0.6667,0.7194,0.6667,5.6460,8.8792,8.8792,67.2000,66.5333,26.9761,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,3.7170,0.0448,1.0000
gpt-4o|SP|loss_aversion_WTA_WTP,prospect_frame,WTA-WTP,gpt-4o,SP,gpt-4o|SP|loss_aversion_baseline,,"('gpt-4o', ['loss_aversion_WTA_WTP'])",150,-1.7740,7.2408,6.0162,8.5552,93.3333,6.6667,0.0000,0.0000,0.0000,5.6460,1.5948,1.5948,67.2000,67.2000,20.5506,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-3.5673,0.0054,0.3165
claude-3-5-haiku|SP|loss_aversion_baseline,prospect_frame,baseline (loss-aversion),claude-3-5-haiku,SP,claude-3-5-haiku|SP|loss_aversion_baseline,frame-specific baseline (more specific than axis baselines),"('claude-3-5-haiku-20241022', ['loss_aversion_baseline'])",150,0.9073,9.6082,8.2204,11.0477,34.6667,17.3333,48.0000,58.0645,48.0000,5.6460,3.9622,3.9622,67.2000,19.2000,11.6388,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
claude-3-5-haiku|SP|loss_aversion_loss_frame,prospect_frame,loss frame,claude-3-5-haiku,SP,claude-3-5-haiku|SP|loss_aversion_baseline,,"('claude-3-5-haiku-20241022', ['loss_aversion_loss_frame'])",150,-0.1387,5.0667,4.3374,5.8069,62.0000,9.3333,28.6667,31.6176,28.6667,5.6460,-0.5793,0.5793,67.2000,38.5333,17.6705,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-4.5415,0.0000,0.0006
claude-3-5-haiku|SP|loss_aversion_gain_frame,prospect_frame,gain frame,claude-3-5-haiku,SP,claude-3-5-haiku|SP|loss_aversion_baseline,,"('claude-3-5-haiku-20241022', ['loss_aversion_gain_frame'])",120,-0.0975,9.8197,8.3263,11.4219,60.8333,3.3333,35.8333,37.0690,35.8333,5.6460,4.1737,4.1737,67.2000,31.3667,14.4124,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,0.2116,0.8441,0.0445
claude-3-5-haiku|SP|loss_aversion_mixed_frame,prospect_frame,mixed frame,claude-3-5-haiku,SP,claude-3-5-haiku|SP|loss_aversion_baseline,,"('claude-3-5-haiku-20241022', ['loss_aversion_mixed_frame'])",150,0.9973,8.0816,7.2735,8.9660,36.6667,4.0000,59.3333,61.8056,59.3333,5.6460,2.4356,2.4356,67.2000,7.8667,13.9601,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-1.5265,0.0710,0.0490
claude-3-5-haiku|SP|loss_aversion_endowment,prospect_frame,endowment,claude-3-5-haiku,SP,claude-3-5-haiku|SP|loss_aversion_baseline,,"('claude-3-5-haiku-20241022', ['loss_aversion_endowment'])",126,-0.1175,9.5497,8.4352,10.7127,65.0794,0.7937,34.1270,34.4000,34.1270,5.6460,3.9037,3.9037,67.2000,33.0730,15.7300,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-0.0584,0.9493,0.0199
claude-3-5-haiku|SP|loss_aversion_WTA_WTP,prospect_frame,WTA-WTP,claude-3-5-haiku,SP,claude-3-5-haiku|SP|loss_aversion_baseline,,"('claude-3-5-haiku-20241022', ['loss_aversion_WTA_WTP'])",150,0.0173,4.3374,3.6109,5.1293,50.0000,24.0000,26.0000,34.2105,26.0000,5.6460,-1.3086,1.3086,67.2000,41.2000,17.2265,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-5.2707,0.0000,0.0001
gemini-2.0-flash|SP|loss_aversion_baseline,prospect_frame,baseline (loss-aversion),gemini-2.0-flash,SP,gemini-2.0-flash|SP|loss_aversion_baseline,frame-specific baseline (more specific than axis baselines),"('gemini-2.0-flash', ['loss_aversion_baseline'])",138,-0.6833,2.7891,1.9372,3.7829,88.4058,11.5942,0.0000,0.0000,0.0000,5.6460,-2.8569,2.8569,67.2000,67.2000,19.6691,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
gemini-2.0-flash|SP|loss_aversion_loss_frame,prospect_frame,loss frame,gemini-2.0-flash,SP,gemini-2.0-flash|SP|loss_aversion_baseline,,"('gemini-2.0-flash', ['loss_aversion_loss_frame'])",126,-0.9563,3.9035,2.6951,5.2642,86.5079,13.4921,0.0000,0.0000,0.0000,5.6460,-1.7425,1.7425,67.2000,67.2000,18.9631,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,1.1144,0.1764,1.0000
gemini-2.0-flash|SP|loss_aversion_gain_frame,prospect_frame,gain frame,gemini-2.0-flash,SP,gemini-2.0-flash|SP|loss_aversion_baseline,,"('gemini-2.0-flash', ['loss_aversion_gain_frame'])",150,-0.6513,2.6585,1.9047,3.5456,86.0000,14.0000,0.0000,0.0000,0.0000,5.6460,-2.9875,2.9875,67.2000,67.2000,19.9790,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-0.1306,0.8404,1.0000
gemini-2.0-flash|SP|loss_aversion_mixed_frame,prospect_frame,mixed frame,gemini-2.0-flash,SP,gemini-2.0-flash|SP|loss_aversion_baseline,,"('gemini-2.0-flash', ['loss_aversion_mixed_frame'])",150,-1.1407,4.6558,3.3415,6.1661,88.6667,11.3333,0.0000,0.0000,0.0000,5.6460,-0.9902,0.9902,67.2000,67.2000,18.5402,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,1.8667,0.0307,1.0000
gemini-2.0-flash|SP|loss_aversion_endowment,prospect_frame,endowment,gemini-2.0-flash,SP,gemini-2.0-flash|SP|loss_aversion_baseline,,"('gemini-2.0-flash', ['loss_aversion_endowment'])",150,-1.6967,6.9361,5.4666,8.5422,93.3333,6.6667,0.0000,0.0000,0.0000,5.6460,1.2901,1.2901,67.2000,67.2000,19.7906,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,4.1469,0.0000,1.0000
gemini-2.0-flash|SP|loss_aversion_WTA_WTP,prospect_frame,WTA-WTP,gemini-2.0-flash,SP,gemini-2.0-flash|SP|loss_aversion_baseline,,"('gemini-2.0-flash', ['loss_aversion_WTA_WTP'])",150,-1.5907,6.4925,5.1646,7.9729,93.3333,6.6667,0.0000,0.0000,0.0000,5.6460,0.8465,0.8465,67.2000,67.2000,19.5096,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,3.7034,0.0000,1.0000
gemma-3-27b|SP|loss_aversion_baseline,prospect_frame,baseline (loss-aversion),gemma-3-27b,SP,gemma-3-27b|SP|loss_aversion_baseline,frame-specific baseline (more specific than axis baselines),"('google/gemma-3-27b-it', ['loss_aversion_baseline'])",129,-7.1752,29.4004,26.5873,32.2392,95.3488,0.7752,3.8760,3.9062,3.8760,5.6460,23.7544,23.7544,67.2000,63.3240,41.7646,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
gemma-3-27b|SP|loss_aversion_loss_frame,prospect_frame,loss frame,gemma-3-27b,SP,gemma-3-27b|SP|loss_aversion_baseline,,"('google/gemma-3-27b-it', ['loss_aversion_loss_frame'])",138,-8.4232,34.4040,31.3042,37.7729,97.1014,2.8986,0.0000,0.0000,0.0000,5.6460,28.7580,28.7580,67.2000,67.2000,46.8585,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,5.0036,0.0226,0.0196
gemma-3-27b|SP|loss_aversion_gain_frame,prospect_frame,gain frame,gemma-3-27b,SP,gemma-3-27b|SP|loss_aversion_baseline,,"('google/gemma-3-27b-it', ['loss_aversion_gain_frame'])",138,-5.9986,25.0399,22.4306,27.6370,92.7536,1.4493,5.7971,5.8824,5.7971,5.6460,19.3939,19.3939,67.2000,61.4029,36.9620,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-4.3605,0.0278,0.4661
gemma-3-27b|SP|loss_aversion_mixed_frame,prospect_frame,mixed frame,gemma-3-27b,SP,gemma-3-27b|SP|loss_aversion_baseline,,"('google/gemma-3-27b-it', ['loss_aversion_mixed_frame'])",150,-6.8567,28.9660,25.9891,32.0518,94.0000,4.0000,2.0000,2.0833,2.0000,5.6460,23.3200,23.3200,67.2000,65.2000,40.4645,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-0.4344,0.8417,0.3492
gemma-3-27b|SP|loss_aversion_endowment,prospect_frame,endowment,gemma-3-27b,SP,gemma-3-27b|SP|loss_aversion_baseline,,"('google/gemma-3-27b-it', ['loss_aversion_endowment'])",150,-7.7180,33.1891,29.8311,36.4995,92.6667,2.0000,5.3333,5.4422,5.3333,5.6460,27.5431,27.5431,67.2000,61.8667,43.9802,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,3.7887,0.0976,0.5647
gemma-3-27b|SP|loss_aversion_WTA_WTP,prospect_frame,WTA-WTP,gemma-3-27b,SP,gemma-3-27b|SP|loss_aversion_baseline,,"('google/gemma-3-27b-it', ['loss_aversion_WTA_WTP'])",138,-5.5993,23.2269,20.8486,25.5844,94.9275,0.0000,5.0725,5.0725,5.0725,5.6460,17.5809,17.5809,67.2000,62.1275,35.3323,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-6.1736,0.0014,0.6372
gpt-4o|FP|loss_aversion_baseline,prospect_frame,baseline (loss-aversion),gpt-4o,FP,gpt-4o|FP|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_baseline_first'), None)",144,-3.6125,22.2052,19.6581,24.7857,95.1389,4.8611,0.0000,0.0000,88.8889,24.7639,-2.5587,2.5587,0.4000,0.4000,2.0997,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|FP|loss_aversion_loss_frame,prospect_frame,loss frame,gpt-4o,FP,gpt-4o|FP|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_loss_frame_first'), None)",150,-5.6100,17.9002,15.5710,20.3857,92.6667,7.3333,0.0000,0.0000,70.6667,24.7639,-6.8637,6.8637,0.4000,0.4000,7.8018,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,-4.3050,0.0180,1.0000
gpt-4o|FP|loss_aversion_gain_frame,prospect_frame,gain frame,gpt-4o,FP,gpt-4o|FP|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_gain_frame_first'), None)",150,-3.6727,22.8490,20.4325,25.4123,96.0000,4.0000,0.0000,0.0000,88.0000,24.7639,-1.9149,1.9149,0.4000,0.4000,2.1361,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,0.6438,0.7277,1.0000
gpt-4o|FP|loss_aversion_mixed_frame,prospect_frame,mixed frame,gpt-4o,FP,gpt-4o|FP|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_mixed_frame_first'), None)",147,-4.9129,18.8866,16.4820,21.4643,96.5986,3.4014,0.0000,0.0000,76.1905,24.7639,-5.8773,5.8773,0.4000,0.4000,4.9376,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,-3.3186,0.0743,1.0000
gpt-4o|FP|loss_aversion_endowment,prospect_frame,endowment,gpt-4o,FP,gpt-4o|FP|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_endowment_first'), None)",126,-4.3524,23.5201,20.6098,26.4005,93.6508,6.3492,0.0000,0.0000,76.9841,24.7639,-1.2438,1.2438,0.4000,0.4000,3.9328,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,1.3149,0.5173,1.0000
gpt-4o|FP|loss_aversion_WTA_WTP,prospect_frame,WTA-WTP,gpt-4o,FP,gpt-4o|FP|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_WTA_WTP_first'), None)",150,-3.2073,23.0032,20.2573,25.7643,99.3333,0.6667,0.0000,0.0000,89.3333,24.7639,-1.7607,1.7607,0.4000,0.4000,2.8576,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,0.7980,0.6782,1.0000
gpt-4o|TP3|loss_aversion_baseline,prospect_frame,baseline (loss-aversion),gpt-4o,TP3,gpt-4o|TP3|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_baseline_third'), None)",150,-3.4100,120.8844,112.4812,129.2554,95.3333,4.6667,0.0000,0.0000,0.0000,7.6566,113.2278,113.2278,89.8000,89.8000,48.1609,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|TP3|loss_aversion_loss_frame,prospect_frame,loss frame,gpt-4o,TP3,gpt-4o|TP3|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_loss_frame_third'), None)",126,-5.3325,130.7386,121.6613,140.3683,95.2381,3.9683,0.7937,0.8264,0.0000,7.6566,123.0820,123.0820,89.8000,89.0063,56.0080,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,9.8542,0.1241,0.2744
gpt-4o|TP3|loss_aversion_gain_frame,prospect_frame,gain frame,gpt-4o,TP3,gpt-4o|TP3|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_gain_frame_third'), None)",147,-4.6844,126.0197,117.3129,135.3050,88.4354,7.4830,4.0816,4.4118,0.0000,7.6566,118.3631,118.3631,89.8000,85.7184,53.3624,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,5.1354,0.4139,0.0124
gpt-4o|TP3|loss_aversion_mixed_frame,prospect_frame,mixed frame,gpt-4o,TP3,gpt-4o|TP3|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_mixed_frame_third'), None)",138,-4.3529,123.1500,114.8477,131.6513,96.3768,2.1739,1.4493,1.4815,0.0000,7.6566,115.4934,115.4934,89.8000,88.3507,52.0095,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,2.2656,0.7057,0.1390
gpt-4o|TP3|loss_aversion_endowment,prospect_frame,endowment,gpt-4o,TP3,gpt-4o|TP3|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_endowment_third'), None)",138,-5.0181,126.7524,117.3350,135.6937,95.6522,4.3478,0.0000,0.0000,0.0000,7.6566,119.0958,119.0958,89.8000,89.8000,54.7247,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,5.8681,0.3401,1.0000
gpt-4o|TP3|loss_aversion_WTA_WTP,prospect_frame,WTA-WTP,gpt-4o,TP3,gpt-4o|TP3|loss_aversion_baseline,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/loss_aversion_WTA_WTP_third'), None)",147,-1.9728,114.0081,106.3511,121.9039,91.1565,8.8435,0.0000,0.0000,0.0000,7.6566,106.3515,106.3515,89.8000,89.8000,42.2948,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,-6.8763,0.2417,1.0000
gpt-4o|FP|expl_on,rule_explanation,explanation ON,gpt-4o,FP,gpt-4o|FP|expl_on,= V10 anchor,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/fpsb_ipv'), None)",285,-2.0323,28.1141,25.9228,30.2299,90.8772,9.1228,0.0000,0.0000,83.1579,24.7639,3.3502,3.3502,0.4000,0.4000,7.5316,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|FP|expl_off,rule_explanation,explanation OFF,gpt-4o,FP,gpt-4o|FP|expl_on,git-recovered experiment_logs_without_explanation (ce36a78b),"(PosixPath('/private/tmp/claude-503/-Users-kehangzh-Desktop-llm-auction/e6af7b33-5c8d-4f65-ac39-dc081936377b/scratchpad/without_explanation/V10/fpsb_ipv'), None)",294,-2.0085,28.0823,26.0359,30.1627,91.1565,8.8435,0.0000,0.0000,84.0136,24.7639,3.3184,3.3184,0.4000,0.4000,7.6174,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,-0.0318,0.9833,1.0000
gpt-4o|SP|expl_on,rule_explanation,explanation ON,gpt-4o,SP,gpt-4o|SP|expl_on,= V10 anchor,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/spsb_ipv'), None)",270,-1.5581,8.8632,7.6017,10.2994,74.0741,9.2593,16.6667,18.3673,16.6667,5.6460,3.2172,3.2172,67.2000,50.5333,18.8615,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|SP|expl_off,rule_explanation,explanation OFF,gpt-4o,SP,gpt-4o|SP|expl_on,git-recovered experiment_logs_without_explanation (ce36a78b),"(PosixPath('/private/tmp/claude-503/-Users-kehangzh-Desktop-llm-auction/e6af7b33-5c8d-4f65-ac39-dc081936377b/scratchpad/without_explanation/V10/spsb_ipv'), None)",300,-1.4437,8.7007,7.5073,9.9932,76.3333,7.6667,16.0000,17.3285,16.0000,5.6460,3.0547,3.0547,67.2000,51.2000,18.3968,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-0.1625,0.8638,0.8297
gpt-4o|TP3|expl_on,rule_explanation,explanation ON,gpt-4o,TP3,gpt-4o|TP3|expl_on,explanation-ON TP is the Jan-12 N=3 run from recovered_logs/..._with_explanation (current V10 third_price is a newer N=5 run),"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_with_explanation/V10/third_price_ipv'), None)",288,-1.2865,108.2837,101.9961,114.8356,76.0417,4.5139,19.4444,20.3636,1.0417,7.6566,100.6271,100.6271,89.8000,70.3556,39.4934,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|TP3|expl_off,rule_explanation,explanation OFF,gpt-4o,TP3,gpt-4o|TP3|expl_on,git-recovered experiment_logs_without_explanation (ce36a78b),"(PosixPath('/private/tmp/claude-503/-Users-kehangzh-Desktop-llm-auction/e6af7b33-5c8d-4f65-ac39-dc081936377b/scratchpad/without_explanation/V10/third_price_ipv'), None)",294,-2.4660,111.3147,104.9022,117.6854,83.6735,3.7415,12.5850,13.0742,0.0000,7.6566,103.6581,103.6581,89.8000,77.2150,44.3078,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,3.0310,0.5258,0.0239
gpt-4o|SP-APV|expl_on,rule_explanation,explanation ON,gpt-4o,SP-APV,gpt-4o|SP-APV|expl_on,= V10 anchor,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/spsb_apv'), None)",291,-2.4189,10.9531,9.8013,12.0558,93.1271,0.0000,6.8729,6.8729,6.8729,9.3100,1.6431,1.6431,40.0000,33.1271,13.5859,li_2017_osp_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|SP-APV|expl_off,rule_explanation,explanation OFF,gpt-4o,SP-APV,gpt-4o|SP-APV|expl_on,git-recovered experiment_logs_without_explanation (ce36a78b),"(PosixPath('/private/tmp/claude-503/-Users-kehangzh-Desktop-llm-auction/e6af7b33-5c8d-4f65-ac39-dc081936377b/scratchpad/without_explanation/V10/spsb_apv'), None)",300,-2.4430,11.0190,9.9224,12.1007,93.3333,0.0000,6.6667,6.6667,6.6667,9.3100,1.7090,1.7090,40.0000,33.3333,13.6843,li_2017_osp_synthetic_bids.csv:5000 rows,ok,0.0660,0.9367,0.9205
